surface_display_label,wheel_field,gap_count,simple_odd_semiprime_count,simple_odd_semiprime_share,position_2_count,position_4_count,position_6_count,next_simple_transition_count,next_simple_plus2_count,next_simple_plus2_share,independent_uniform_plus2_share,independent_marginal_plus2_share,immediate_simple_transition_count,immediate_simple_plus2_count,immediate_simple_plus2_share,immediate_independent_marginal_plus2_share,intervening_complex_transition_count,intervening_complex_plus2_count,intervening_complex_plus2_share,intervening_independent_marginal_plus2_share,intervening_complex_gap_count,break_count,breaks_with_intervening_complex,breaks_with_intervening_complex_share,run_count,max_run_length,longest_perfect_plus2_run,longest_local_plus2_run,run_transition_count,run_plus2_transition_count,run_plus2_transition_share
10^16,open_offset,256,175,0.68359375,69,69,37,174,62,0.3563218390804598,0.3333333333333333,0.32137666798784514,123,44,0.35772357723577236,0.31918831383435786,51,18,0.35294117647058826,0.3264129181084198,80,112,33,0.29464285714285715,52,12,4,4,123,44,0.35772357723577236
10^17,open_offset,256,176,0.6875,72,61,43,175,68,0.38857142857142857,0.3333333333333333,0.3258122448979592,119,48,0.40336134453781514,0.32264670574112,56,20,0.35714285714285715,0.33673469387755106,78,107,36,0.3364485981308411,57,10,5,5,119,48,0.40336134453781514
10^18,open_offset,256,188,0.734375,63,73,52,187,59,0.3155080213903743,0.3333333333333333,0.3301495610397781,138,46,0.3333333333333333,0.3306553245116572,49,13,0.2653061224489796,0.3286130778842149,67,128,36,0.28125,50,16,4,4,138,46,0.3333333333333333
pooled_within_surfaces,open_offset,81569,47308,0.5799752356900293,18224,16778,12306,47295,16146,0.3413891531874405,0.3333333333333333,0.32907437075681234,27281,9244,0.33884388402184673,0.327352782947141,20014,6902,0.3448585989807135,0.331016901639423,34241,31149,13112,0.4209444926000835,20027,20,7,7,27281,9244,0.33884388402184673
<=10^6,winner_offset_mod6,78497,45268,0.5766844592786986,23024,14095,8149,45267,13668,0.30194181191596525,0.3333333333333333,0.3059755232041143,25940,7626,0.29398612181958367,0.3041937476258896,19327,6042,0.3126196512650696,0.3083981546376598,33223,31599,13285,0.42042469698408175,19328,20,6,6,25940,7626,0.29398612181958367
10^7,winner_offset_mod6,256,157,0.61328125,73,50,34,156,59,0.3782051282051282,0.3333333333333333,0.3183760683760684,92,33,0.358695652173913,0.29560491493383745,64,26,0.40625,0.341796875,98,97,38,0.3917525773195876,65,8,3,3,92,33,0.358695652173913
10^8,winner_offset_mod6,256,152,0.59375,68,40,44,151,54,0.3576158940397351,0.3333333333333333,0.3238454453752028,86,30,0.3488372093023256,0.3343699296917253,65,24,0.36923076923076925,0.31502958579881657,103,97,41,0.422680412371134,66,7,2,4,86,30,0.3488372093023256
10^9,winner_offset_mod6,256,167,0.65234375,72,52,43,166,51,0.3072289156626506,0.3333333333333333,0.3249020177093918,105,34,0.3238095238095238,0.3333333333333333,61,17,0.2786885245901639,0.3028755710830422,88,115,44,0.3826086956521739,62,10,4,5,105,34,0.3238095238095238
10^10,winner_offset_mod6,256,172,0.671875,77,45,50,171,54,0.3157894736842105,0.3333333333333333,0.3238603330939434,105,36,0.34285714285714286,0.3197278911564626,66,18,0.2727272727272727,0.3266758494031221,84,117,48,0.41025641025641024,67,11,4,5,105,36,0.34285714285714286
10^11,winner_offset_mod6,256,175,0.68359375,62,51,62,174,51,0.29310344827586204,0.3333333333333333,0.33174791914387636,124,33,0.2661290322580645,0.3321409989594173,50,18,0.36,0.33240000000000003,79,123,32,0.2601626016260163,51,19,3,4,124,33,0.2661290322580645
10^12,winner_offset_mod6,256,166,0.6484375,68,45,53,165,52,0.3151515151515151,0.3333333333333333,0.3279706152433425,108,33,0.3055555555555556,0.32253086419753085,57,19,0.3333333333333333,0.33579562942443825,87,113,38,0.336283185840708,58,11,2,5,108,33,0.3055555555555556
