surface_display_label,wheel_field,current_position,next_position,count
10^16,open_offset,6,2,16
10^16,open_offset,6,4,18
10^16,open_offset,6,6,3
10^17,open_offset,2,2,30
10^17,open_offset,2,4,29
10^17,open_offset,2,6,13
10^17,open_offset,4,2,23
10^17,open_offset,4,4,18
10^17,open_offset,4,6,20
10^17,open_offset,6,2,19
10^17,open_offset,6,4,14
10^17,open_offset,6,6,9
10^18,open_offset,2,2,17
10^18,open_offset,2,4,28
10^18,open_offset,2,6,18
10^18,open_offset,4,2,33
10^18,open_offset,4,4,22
10^18,open_offset,4,6,18
10^18,open_offset,6,2,13
10^18,open_offset,6,4,22
10^18,open_offset,6,6,16
pooled_within_surfaces,open_offset,2,2,6748
pooled_within_surfaces,open_offset,2,4,6493
pooled_within_surfaces,open_offset,2,6,4978
pooled_within_surfaces,open_offset,4,2,6503
pooled_within_surfaces,open_offset,4,4,5587
pooled_within_surfaces,open_offset,4,6,4687
pooled_within_surfaces,open_offset,6,2,4966
pooled_within_surfaces,open_offset,6,4,4693
pooled_within_surfaces,open_offset,6,6,2640
<=10^6,winner_offset_mod6,2,2,11832
<=10^6,winner_offset_mod6,2,4,7051
<=10^6,winner_offset_mod6,2,6,4141
<=10^6,winner_offset_mod6,4,2,7058
<=10^6,winner_offset_mod6,4,4,4553
<=10^6,winner_offset_mod6,4,6,2484
<=10^6,winner_offset_mod6,6,2,4133
<=10^6,winner_offset_mod6,6,4,2491
<=10^6,winner_offset_mod6,6,6,1524
10^7,winner_offset_mod6,2,2,29
10^7,winner_offset_mod6,2,4,29
10^7,winner_offset_mod6,2,6,14
10^7,winner_offset_mod6,4,2,26
10^7,winner_offset_mod6,4,4,11
10^7,winner_offset_mod6,4,6,13
10^7,winner_offset_mod6,6,2,17
10^7,winner_offset_mod6,6,4,10
10^7,winner_offset_mod6,6,6,7
10^8,winner_offset_mod6,2,2,28
10^8,winner_offset_mod6,2,4,19
10^8,winner_offset_mod6,2,6,21
10^8,winner_offset_mod6,4,2,17
10^8,winner_offset_mod6,4,4,9
10^8,winner_offset_mod6,4,6,13
10^8,winner_offset_mod6,6,2,22
10^8,winner_offset_mod6,6,4,12
10^8,winner_offset_mod6,6,6,10
10^9,winner_offset_mod6,2,2,31
10^9,winner_offset_mod6,2,4,22
10^9,winner_offset_mod6,2,6,18
10^9,winner_offset_mod6,4,2,24
10^9,winner_offset_mod6,4,4,16
10^9,winner_offset_mod6,4,6,12
10^9,winner_offset_mod6,6,2,17
10^9,winner_offset_mod6,6,4,13
10^9,winner_offset_mod6,6,6,13
10^10,winner_offset_mod6,2,2,36
10^10,winner_offset_mod6,2,4,18
