offset,sigma,solved,method,witness,seconds
307,43,0,,,8.174311
471,43,0,,,8.904907
487,43,0,,,8.773359
1053,43,0,,,8.960394
81,47,0,,,8.140812
159,47,0,,,8.313565
217,47,0,,,8.778407
247,47,0,,,8.503253
307,47,0,,,9.195295
471,47,0,,,8.792364
487,47,0,,,8.454406
1053,47,0,,,8.675980
81,53,0,,,8.662106
159,53,0,,,9.225428
217,53,0,,,8.282281
247,53,0,,,8.921940
307,53,0,,,9.213033
471,53,0,,,7.974309
487,53,0,,,7.818524
1053,53,0,,,8.005315
81,59,0,,,7.916426
159,59,0,,,8.122589
217,59,0,,,7.936559
247,59,0,,,8.310939
307,59,0,,,7.642125
471,59,0,,,8.136320
487,59,0,,,7.881274
1053,59,0,,,7.622023
81,61,0,,,8.643604
159,61,0,,,8.790496
217,61,0,,,8.099701
247,61,0,,,8.292658
307,61,0,,,8.933507
471,61,0,,,7.909246
487,61,0,,,8.511019
1053,61,0,,,8.528302
81,67,0,,,8.464960
159,67,0,,,9.032917
217,67,0,,,8.007521
247,67,0,,,8.532148
307,67,0,,,8.609342
471,67,0,,,8.818683
487,67,0,,,8.551952
1053,67,0,,,8.360841
81,71,0,,,8.416913
159,71,0,,,8.978057
217,71,0,,,8.686390
247,71,0,,,8.754295
307,71,0,,,8.690027
471,71,0,,,8.574348
487,71,0,,,8.417467
1053,71,0,,,8.426807
81,73,0,,,8.683334
159,73,0,,,8.392551
217,73,0,,,8.333261
247,73,0,,,8.068934
307,73,0,,,8.265004
471,73,0,,,8.439711
487,73,0,,,8.968075
1053,73,0,,,8.155653
81,79,0,,,8.275707
159,79,0,,,8.019080
217,79,0,,,8.504861
247,79,0,,,8.040979
307,79,0,,,8.061155
471,79,0,,,7.864719
487,79,0,,,8.214036
1053,79,0,,,8.757353
81,83,0,,,8.450346
159,83,0,,,8.926265
217,83,0,,,8.718689
247,83,0,,,8.569517
307,83,0,,,8.339598
471,83,0,,,8.584095
487,83,0,,,8.483878
1053,83,0,,,8.318740
81,89,0,,,8.313109
159,89,0,,,8.210296
217,89,0,,,8.463093
247,89,0,,,8.021432
307,89,0,,,8.752324
471,89,0,,,8.451934
487,89,0,,,7.977554
1053,89,0,,,8.810710
81,97,0,,,8.767700
159,97,0,,,8.685903
217,97,0,,,8.722478
247,97,0,,,8.781147
307,97,0,,,8.631233
471,97,0,,,8.878423
487,97,0,,,8.442853
1053,97,0,,,8.015126
81,101,0,,,8.290321
159,101,0,,,8.105434
217,101,0,,,8.938402
247,101,0,,,7.804492
307,101,0,,,8.581430
471,101,0,,,8.376659
487,101,0,,,8.251446
1053,101,0,,,8.557505
81,103,0,,,8.035365
159,103,0,,,8.084040
217,103,0,,,8.350194
247,103,0,,,8.252496
307,103,0,,,8.412664
471,103,0,,,8.529451
487,103,0,,,8.619022
1053,103,0,,,9.024281
81,107,0,,,8.444044
159,107,0,,,8.757947
217,107,0,,,7.916728
247,107,0,,,8.701076
307,107,0,,,7.971215
471,107,0,,,8.668470
487,107,0,,,8.260785
1053,107,0,,,8.075723
81,109,0,,,8.172080
159,109,0,,,8.808992
217,109,0,,,8.010632
247,109,0,,,8.275628
307,109,0,,,7.879044
471,109,0,,,7.862071
487,109,0,,,8.145428
1053,109,0,,,8.216876
81,113,0,,,8.930271
159,113,0,,,8.549105
217,113,0,,,8.078777
247,113,0,,,9.223620
307,113,0,,,8.593367
471,113,0,,,8.591898
487,113,0,,,8.385030
1053,113,0,,,8.822466
81,127,0,,,8.012208
159,127,0,,,8.167140
217,127,0,,,8.082718
247,127,0,,,8.602363
307,127,0,,,8.847680
471,127,0,,,8.115572
487,127,0,,,8.491648
1053,127,0,,,8.071064
81,131,0,,,8.520166
159,131,0,,,8.352625
217,131,0,,,8.001899
247,131,0,,,8.423333
307,131,0,,,8.846209
471,131,0,,,8.753863
487,131,0,,,8.710335
1053,131,0,,,8.981756
81,137,0,,,8.882350
159,137,0,,,7.894008
217,137,0,,,8.288461
247,137,0,,,8.288727
307,137,0,,,8.453424
471,137,0,,,8.302355
487,137,0,,,8.527947
1053,137,0,,,8.060886
81,139,0,,,8.727029
159,139,0,,,8.349083
217,139,0,,,8.098364
247,139,0,,,8.396661
307,139,0,,,8.385484
471,139,0,,,7.335786
487,139,0,,,7.813371
1053,139,0,,,7.717014
81,149,0,,,8.241900
159,149,0,,,8.899754
217,149,0,,,8.551058
247,149,0,,,8.399315
307,149,0,,,8.343451
471,149,0,,,8.248957
487,149,0,,,8.586967
1053,149,0,,,8.625120
81,151,0,,,7.821310
159,151,0,,,8.358275
217,151,0,,,8.410208
247,151,0,,,8.672490
307,151,0,,,8.182620
471,151,0,,,8.210797
487,151,0,,,8.607674
1053,151,0,,,7.775626
81,157,0,,,8.278945
159,157,0,,,8.156151
217,157,0,,,8.186720
247,157,0,,,8.748459
307,157,0,,,8.230995
471,157,0,,,8.468178
487,157,0,,,8.954107
1053,157,0,,,8.999713
81,163,0,,,8.390703
159,163,0,,,8.620219
217,163,0,,,8.229727
247,163,0,,,8.602215
307,163,0,,,8.061451
471,163,0,,,8.634144
487,163,0,,,8.553837
1053,163,0,,,8.863762
81,167,0,,,8.516024
159,167,0,,,8.208043
217,167,0,,,8.426976
247,167,0,,,8.718528
307,167,0,,,8.543203
471,167,0,,,8.234408
487,167,0,,,8.140189
1053,167,0,,,8.461339
81,173,0,,,8.706261
159,173,0,,,8.665365
217,173,0,,,8.649026
247,173,0,,,8.491765
307,173,0,,,8.758735
471,173,0,,,8.200587
487,173,0,,,7.522796
1053,173,0,,,8.077899
81,179,0,,,8.656527
159,179,0,,,8.558142
217,179,0,,,8.509271
247,179,0,,,8.144217
307,179,0,,,8.448720
471,179,0,,,8.294295
487,179,0,,,8.012097
1053,179,0,,,8.293007
81,181,0,,,8.584022
159,181,0,,,9.188021
217,181,0,,,8.586810
247,181,0,,,8.378109
307,181,0,,,8.606962
471,181,0,,,8.847001
487,181,0,,,9.193923
1053,181,0,,,8.237280
81,191,0,,,8.188768
159,191,0,,,8.017602
217,191,0,,,7.738145
247,191,0,,,8.291629
307,191,0,,,8.493149
471,191,0,,,8.455412
487,191,0,,,7.860538
1053,191,0,,,7.924867
81,193,0,,,7.439196
159,193,0,,,8.861312
217,193,0,,,8.325275
247,193,0,,,8.678013
307,193,0,,,8.636615
471,193,0,,,8.915098
487,193,0,,,8.940000
1053,193,0,,,8.656167
81,197,0,,,8.312102
159,197,0,,,7.925341
217,197,0,,,8.239335
247,197,0,,,8.294238
307,197,0,,,8.441258
471,197,0,,,8.555885
487,197,0,,,8.398465
1053,197,0,,,8.615696
81,199,0,,,7.972510
159,199,0,,,8.542986
217,199,0,,,8.159747
247,199,0,,,7.689789
307,199,0,,,7.531027
471,199,0,,,7.202264
487,199,0,,,6.903232
1053,199,0,,,7.047568
