k,count,possible_g,mean_g,min_g,max_g,num_possible_g,level_share,mean_compress,tau4_share,square_share
149,118,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 40, 42, 54, 62]",15.8475,4,62,19,0.0169,3.9322,0.8898,0.0085
151,114,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 30, 32, 36, 40, 42, 64]",15.5965,4,64,18,0.0175,3.7982,0.9123,0.0088
155,7,"[36, 42, 48]",40.2857,36,48,3,0.0,3.0,1.0,0.0
157,118,"[4, 6, 8, 10, 12, 14, 18, 20, 22, 24, 26, 28, 30, 34, 36, 40, 42, 48, 54, 64]",15.4576,4,64,20,0.0169,3.2797,0.8475,0.0
159,1,[70],70.0,70,70,1,0.0,9.0,1.0,0.0
161,15,"[24, 30, 36, 60]",30.8,24,60,4,0.0,3.6667,1.0,0.0
163,97,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 28, 30, 34, 42, 54]",13.1753,4,54,16,0.0,3.0928,0.8351,0.0
167,90,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 36, 42]",14.3778,4,42,16,0.0111,3.4222,0.8667,0.0
169,12,"[18, 24, 30, 36, 48]",25.5,18,48,5,0.0,2.6667,1.0,0.0
173,96,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 36, 38, 40, 42, 46, 60]",15.8958,4,60,20,0.0,3.6146,0.8854,0.0
175,5,"[36, 48, 72]",48.0,36,72,3,0.0,3.6,1.0,0.0
177,3,"[70, 74]",71.3333,70,74,2,0.0,2.6667,1.0,0.0
179,81,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 36, 46, 58]",13.4815,4,58,18,0.0123,3.3704,0.8642,0.0
181,77,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 28, 30, 32, 34, 36, 40, 54]",14.2597,4,54,17,0.0,3.6753,0.8182,0.0
183,2,"[68, 70]",69.0,68,70,2,0.0,5.0,1.0,0.0
185,2,[42],42.0,42,42,1,0.0,1.5,1.0,0.0
187,17,"[18, 24, 30, 36, 48]",26.1176,18,48,5,0.0,3.8824,1.0,0.0
191,74,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 30, 36, 38, 42]",13.027,4,42,16,0.0,3.527,0.8108,0.0
193,62,"[4, 6, 8, 10, 12, 14, 18, 20, 22, 24, 26, 28, 30, 36, 50, 80]",15.8065,4,80,16,0.0161,3.6774,0.8871,0.0
197,81,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 30, 34, 36, 42, 60, 68]",15.0617,4,68,17,0.0247,3.5679,0.8765,0.0
199,75,"[4, 6, 10, 12, 14, 18, 22, 24, 26, 28, 30, 34, 36, 40, 42, 44, 52, 60]",15.7067,4,60,18,0.0267,3.2933,0.8,0.0133
201,1,[70],70.0,70,70,1,0.0,10.0,1.0,0.0
203,9,"[30, 36, 60]",36.0,30,60,3,0.0,3.1111,1.0,0.0
205,1,[42],42.0,42,42,1,0.0,1.0,1.0,0.0
209,10,"[24, 30, 36]",28.8,24,36,3,0.0,5.8,0.9,0.1
211,61,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]",14.918,4,38,18,0.0,3.4918,0.8525,0.0
215,1,[54],54.0,54,54,1,0.0,2.0,1.0,0.0
217,2,"[36, 48]",42.0,36,48,2,0.0,2.0,1.0,0.0
221,15,"[18, 24, 30, 48, 54, 60]",30.0,18,60,6,0.0,2.8667,1.0,0.0
223,48,"[4, 6, 10, 12, 14, 16, 20, 22, 24, 26, 28, 30, 32, 34, 40, 42, 48]",15.7917,4,48,17,0.0417,3.5208,0.7917,0.0
227,69,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 30, 36, 42]",14.5217,4,42,15,0.0435,3.8116,0.8696,0.0
229,56,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 30, 32, 34, 36, 40]",14.75,4,40,17,0.0,3.7143,0.9286,0.0
233,54,"[4, 6, 8, 10, 12, 14, 16, 18, 22, 24, 28, 30, 36, 40, 48, 60]",14.2593,4,60,16,0.037,2.9815,0.7778,0.0
239,61,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 26, 30, 34, 36, 40, 46, 50]",15.4754,4,50,16,0.0,3.5246,0.8525,0.0
241,52,"[4, 6, 8, 10, 12, 14, 18, 20, 24, 26, 28, 30, 36]",13.7308,4,36,13,0.0,3.5962,0.8654,0.0
245,1,[54],54.0,54,54,1,0.0,3.0,1.0,0.0
247,4,"[24, 30, 36]",28.5,24,36,3,0.0,3.0,1.0,0.0
251,52,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 36, 40]",14.9231,4,40,16,0.0769,3.0,0.8462,0.0
253,7,"[24, 30, 36, 72]",35.1429,24,72,4,0.0,2.2857,1.0,0.0
257,45,"[4, 6, 8, 10, 12, 14, 18, 22, 24, 34, 40, 48]",12.6222,4,48,12,0.0667,3.4444,0.8667,0.0
263,39,"[4, 6, 8, 12, 14, 18, 20, 22, 24, 30, 56]",14.1538,4,56,11,0.0513,3.2821,0.7692,0.0
269,51,"[4, 6, 8, 10, 12, 16, 18, 20, 22, 24, 28, 30, 40, 42]",13.5686,4,42,14,0.0,3.0392,0.8235,0.0
271,45,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 28, 30]",12.9778,4,30,13,0.0222,3.6667,0.9333,0.0
277,42,"[4, 6, 8, 10, 12, 14, 18, 20, 24, 30, 34, 48]",12.2381,4,48,12,0.0,2.4762,0.8333,0.0
281,38,"[4, 6, 8, 10, 12, 14, 18, 20, 22, 24, 30, 36]",14.2632,4,36,12,0.0,4.0526,0.8684,0.0
283,36,"[4, 6, 8, 10, 12, 14, 18, 24, 30, 40]",12.2222,4,40,10,0.0556,2.7222,0.7222,0.0
289,10,"[18, 24, 30, 36]",25.8,18,36,4,0.0,3.7,1.0,0.0
293,24,"[4, 6, 10, 12, 18, 24, 30, 36, 40, 50]",15.0,4,50,10,0.0833,4.25,0.8333,0.0417
299,5,"[24, 30, 36, 54]",33.6,24,54,4,0.0,7.4,0.8,0.2
307,43,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 30, 40, 46, 48]",15.7209,4,48,14,0.0465,3.3488,0.8605,0.0
311,33,"[4, 6, 8, 10, 12, 14, 16, 18, 22, 24, 30, 36, 42]",12.9091,4,42,13,0.0303,3.3333,0.8182,0.0303
313,25,"[4, 6, 8, 10, 12, 14, 16, 18, 30, 42, 54]",17.84,4,54,11,0.08,4.0,0.88,0.04
317,27,"[4, 6, 10, 12, 18, 20, 24, 30, 42]",13.4815,4,42,9,0.037,3.4815,0.8148,0.037
319,3,[30],30.0,30,30,1,0.0,4.3333,1.0,0.0
323,11,"[24, 30, 42, 54]",30.0,24,54,4,0.0,3.3636,1.0,0.0
331,29,"[6, 10, 12, 14, 16, 18, 20, 24, 26, 28, 30, 40, 48]",17.3103,6,48,13,0.0,3.7241,0.9655,0.0
337,25,"[4, 6, 8, 10, 12, 14, 24, 26, 30, 38]",12.48,4,38,10,0.04,3.24,0.76,0.0
341,1,[36],36.0,36,36,1,0.0,2.0,1.0,0.0
347,33,"[4, 6, 10, 12, 16, 18, 22, 24, 28, 30, 36, 40, 54]",15.7576,4,54,13,0.0909,3.5152,0.8788,0.0
349,29,"[4, 6, 8, 10, 12, 14, 22, 24, 30, 72]",15.0345,4,72,10,0.0,2.931,0.8621,0.0
353,34,"[4, 6, 8, 10, 12, 14, 16, 18, 22, 24, 28, 30, 42, 56]",15.0,4,56,14,0.0,3.9118,0.9118,0.0
359,17,"[4, 6, 10, 12, 14, 18, 20, 30]",16.2353,4,30,8,0.0,3.1176,0.8235,0.0
361,3,"[30, 42, 48]",40.0,30,48,3,0.0,3.3333,1.0,0.0
367,24,"[4, 6, 8, 10, 12, 14, 18, 24, 26, 42, 60]",14.9167,4,60,11,0.125,3.5,0.9167,0.0
371,2,"[60, 90]",75.0,60,90,2,0.0,3.0,1.0,0.0
373,18,"[4, 6, 8, 10, 12, 14, 16, 18, 24, 26, 30, 60]",18.8889,4,60,12,0.0556,3.6111,0.8889,0.0
379,19,"[4, 6, 12, 14, 16, 18, 24, 26, 30]",14.8421,4,30,9,0.1053,3.3684,0.8947,0.0
383,17,"[12, 18, 22, 24, 30, 34, 48]",23.0588,12,48,7,0.1176,4.4118,0.9412,0.0588
389,20,"[4, 6, 12, 18, 20, 24, 28, 30, 36, 44]",17.7,4,44,10,0.05,2.95,0.8,0.0
391,3,"[36, 60]",44.0,36,60,2,0.0,3.0,1.0,0.0
397,18,"[4, 6, 8, 10, 12, 18, 24, 30]",16.0,4,30,8,0.0556,4.4444,1.0,0.0
401,27,"[4, 6, 10, 12, 14, 18, 22, 24, 30, 44, 48]",15.1852,4,48,11,0.1111,3.1852,0.7778,0.0
407,1,[42],42.0,42,42,1,0.0,6.0,1.0,0.0
409,12,"[6, 12, 18, 24, 30, 42]",18.0,6,42,6,0.0833,3.9167,1.0,0.0
419,15,"[6, 12, 16, 18, 30, 40, 42]",18.0,6,42,7,0.0,3.7333,0.8667,0.0
421,12,"[4, 6, 12, 18, 24, 40]",16.1667,4,40,6,0.0,4.0833,0.8333,0.0
431,11,"[4, 6, 10, 12, 18, 24, 34, 36]",18.5455,4,36,8,0.2727,3.1818,1.0,0.0
433,12,"[4, 6, 12, 14, 18, 24, 36, 42]",19.3333,4,42,8,0.0833,3.1667,0.8333,0.0
437,5,"[24, 30]",28.8,24,30,2,0.0,3.2,1.0,0.0
439,15,"[6, 12, 18, 24, 36, 42]",17.2,6,42,6,0.0,3.9333,1.0,0.0
443,5,"[6, 18, 30, 32]",18.4,6,32,4,0.0,5.2,1.0,0.0
449,12,"[6, 8, 12, 16, 18, 30, 36]",16.0,6,36,7,0.0833,2.5,0.8333,0.0
451,1,[48],48.0,48,48,1,0.0,2.0,1.0,0.0
457,15,"[6, 12, 24]",10.4,6,24,3,0.2,2.9333,0.8,0.0667
461,10,"[6, 12, 18, 30]",13.2,6,30,4,0.1,3.8,0.9,0.0
463,14,"[6, 10, 12, 18, 24, 30, 36, 66, 78]",23.8571,6,78,9,0.0714,4.7857,0.8571,0.0
467,7,"[6, 12, 18]",10.2857,6,18,3,0.1429,4.2857,0.8571,0.0
479,9,"[6, 12, 18, 30, 42, 54]",21.3333,6,54,6,0.0,4.6667,1.0,0.0
481,2,"[48, 66]",57.0,48,66,2,0.0,3.0,1.0,0.0
487,12,"[6, 10, 12, 18, 24]",12.8333,6,24,5,0.25,2.8333,1.0,0.0
491,9,"[6, 12, 30]",10.0,6,30,3,0.0,2.3333,0.5556,0.0
493,2,"[30, 36]",33.0,30,36,2,0.0,2.0,1.0,0.0
499,6,"[6, 12, 18, 66]",20.0,6,66,4,0.0,3.8333,1.0,0.0
503,12,"[6, 12, 18, 24, 30]",16.0,6,30,5,0.0,3.0,0.8333,0.0
509,10,"[6, 24, 30, 36, 48]",21.0,6,48,5,0.1,3.2,0.9,0.0
521,10,"[4, 6, 8, 12, 24, 30]",13.2,4,30,6,0.3,2.6,0.8,0.0
523,9,"[6, 12, 14, 18, 24]",16.2222,6,24,5,0.1111,4.6667,0.7778,0.0
529,1,[30],30.0,30,30,1,0.0,6.0,1.0,0.0
541,11,"[6, 12, 18, 30]",13.6364,6,30,4,0.0,3.4545,0.8182,0.0
547,7,"[6, 12, 30]",13.7143,6,30,3,0.0,3.7143,0.8571,0.0
551,1,[30],30.0,30,30,1,0.0,6.0,0.0,1.0
557,6,"[6, 12, 24, 30]",14.0,6,30,4,0.3333,3.1667,0.8333,0.0
563,9,"[4, 6, 10, 12, 18, 24, 36]",14.2222,4,36,7,0.2222,3.2222,0.6667,0.0
569,8,"[6, 12, 18, 24, 30]",19.5,6,30,5,0.125,2.75,1.0,0.0
571,5,"[6, 10, 14, 16]",10.4,6,16,4,0.6,2.2,0.8,0.0
577,9,"[6, 12, 18, 54]",14.0,6,54,4,0.0,3.7778,0.8889,0.0
587,4,"[6, 12, 18]",12.0,6,18,3,0.25,4.0,0.75,0.0
593,4,"[4, 6, 18]",8.5,4,18,3,0.25,2.0,0.75,0.0
599,5,"[6, 18]",10.8,6,18,2,0.0,4.0,0.8,0.0
601,3,"[6, 12, 18]",12.0,6,18,3,0.3333,3.3333,1.0,0.0
607,10,"[6, 12, 18, 30]",13.2,6,30,4,0.1,3.8,1.0,0.0
613,2,"[6, 30]",18.0,6,30,2,0.0,2.0,1.0,0.0
617,5,"[6, 18, 30]",13.2,6,30,3,0.0,4.0,0.8,0.0
619,5,"[6, 10, 12, 18]",10.4,6,18,4,0.2,2.4,0.8,0.0
631,5,"[6, 12]",7.2,6,12,2,0.0,3.4,1.0,0.0
641,6,"[6, 12]",8.0,6,12,2,0.1667,2.5,0.5,0.0
643,7,"[6, 16, 22, 24, 30, 66]",24.2857,6,66,6,0.4286,3.1429,1.0,0.0
647,5,"[6, 18, 24]",12.0,6,24,3,0.2,2.0,0.8,0.0
653,4,"[6, 12, 42]",16.5,6,42,3,0.0,2.75,1.0,0.0
659,7,"[6, 12, 18]",11.1429,6,18,3,0.1429,2.8571,1.0,0.0
661,4,"[6, 12, 18]",13.5,6,18,3,0.0,2.0,1.0,0.0
673,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
677,4,"[6, 12]",10.5,6,12,2,0.0,2.5,0.75,0.0
683,1,[42],42.0,42,42,1,0.0,3.0,1.0,0.0
691,2,"[30, 60]",45.0,30,60,2,0.0,5.0,1.0,0.0
701,2,"[6, 12]",9.0,6,12,2,1.0,5.0,1.0,0.0
709,3,"[6, 18]",14.0,6,18,2,0.0,3.6667,0.6667,0.0
719,4,"[6, 10, 12]",8.5,6,12,3,0.25,4.25,0.75,0.0
727,3,"[6, 10]",7.3333,6,10,2,0.6667,2.3333,1.0,0.0
733,4,"[4, 6, 12]",8.5,4,12,3,0.25,3.75,1.0,0.0
739,1,[12],12.0,12,12,1,0.0,1.0,1.0,0.0
743,1,[18],18.0,18,18,1,1.0,2.0,1.0,0.0
751,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
757,2,"[12, 18]",15.0,12,18,2,0.5,2.0,1.0,0.0
761,1,[26],26.0,26,26,1,1.0,2.0,1.0,0.0
787,1,[30],30.0,30,30,1,1.0,4.0,1.0,0.0
809,2,"[6, 36]",21.0,6,36,2,1.0,3.0,1.0,0.0
811,1,[4],4.0,4,4,1,1.0,2.0,0.0,0.0
821,1,[18],18.0,18,18,1,1.0,3.0,1.0,0.0
823,1,[4],4.0,4,4,1,1.0,1.0,1.0,0.0
857,1,[14],14.0,14,14,1,1.0,2.0,1.0,0.0
859,1,[16],16.0,16,16,1,1.0,1.0,1.0,0.0
877,3,"[6, 12]",10.0,6,12,2,1.0,2.6667,1.0,0.0
881,2,"[18, 24]",21.0,18,24,2,1.0,4.5,1.0,0.0
887,2,"[6, 12]",9.0,6,12,2,1.0,1.5,1.0,0.0
907,1,[10],10.0,10,10,1,1.0,2.0,1.0,0.0
911,3,"[6, 8, 10]",8.0,6,10,3,1.0,2.3333,1.0,0.0
919,3,"[10, 18, 22]",16.6667,10,22,3,1.0,3.3333,1.0,0.0
929,2,"[6, 16]",11.0,6,16,2,1.0,3.5,0.0,0.5
937,3,"[14, 18, 34]",22.0,14,34,3,1.0,4.0,1.0,0.0
941,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
947,3,"[20, 24, 42]",28.6667,20,42,3,1.0,2.3333,1.0,0.0
967,1,[8],8.0,8,8,1,1.0,2.0,1.0,0.0
971,2,"[6, 28]",17.0,6,28,2,1.0,1.5,1.0,0.0
983,3,"[4, 20, 58]",27.3333,4,58,3,1.0,2.6667,0.6667,0.0
997,1,[10],10.0,10,10,1,1.0,4.0,1.0,0.0
1013,1,[18],18.0,18,18,1,1.0,4.0,1.0,0.0
1019,2,"[6, 34]",20.0,6,34,2,1.0,3.5,1.0,0.0
1033,2,"[10, 16]",13.0,10,16,2,1.0,3.0,1.0,0.0
1051,1,[18],18.0,18,18,1,1.0,4.0,1.0,0.0
1061,2,"[4, 22]",13.0,4,22,2,1.0,3.0,1.0,0.0
1063,1,[18],18.0,18,18,1,1.0,4.0,1.0,0.0
1069,1,[22],22.0,22,22,1,1.0,4.0,1.0,0.0
1091,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
1093,2,"[6, 18]",12.0,6,18,2,1.0,2.0,1.0,0.0
1097,2,"[6, 14]",10.0,6,14,2,1.0,5.5,0.5,0.0
1103,1,[6],6.0,6,6,1,1.0,3.0,0.0,0.0
1109,1,[28],28.0,28,28,1,1.0,6.0,1.0,0.0
1117,2,"[6, 10]",8.0,6,10,2,1.0,3.5,1.0,0.0
1151,2,"[4, 12]",8.0,4,12,2,1.0,2.0,1.0,0.0
1153,1,[4],4.0,4,4,1,1.0,3.0,1.0,0.0
1163,3,"[6, 10, 12]",9.3333,6,12,3,1.0,4.0,0.6667,0.0
1171,3,"[6, 16, 18]",13.3333,6,18,3,1.0,1.3333,0.6667,0.0
1181,1,[6],6.0,6,6,1,1.0,2.0,1.0,0.0
1187,1,[10],10.0,10,10,1,1.0,3.0,1.0,0.0
1193,1,[14],14.0,14,14,1,1.0,2.0,1.0,0.0
1201,1,[40],40.0,40,40,1,1.0,6.0,1.0,0.0
1217,2,"[6, 12]",9.0,6,12,2,1.0,3.0,1.0,0.0
