offset,sigma,solved,method,witness,seconds
471,193,0,,,7.665317
487,193,0,,,6.999695
1053,193,0,,,7.039096
81,197,0,,,7.349524
159,197,0,,,7.288144
217,197,0,,,7.757628
247,197,0,,,7.777946
307,197,0,,,7.192699
471,197,0,,,7.673082
487,197,0,,,7.473190
1053,197,0,,,7.799593
81,199,0,,,7.635108
159,199,0,,,7.747191
217,199,0,,,7.251309
247,199,0,,,7.420344
307,199,0,,,7.454582
471,199,0,,,7.073396
487,199,0,,,6.776346
1053,199,0,,,6.536737
