match_mode,measure,measure_role,heldout_power,train_direction,eligible_cells,decisive_pairs,raw_signed_advantage,oriented_signed_advantage,tie_pairs,advantage_share
mod30_prev_gap_exact,tail_mod30,candidate,16,1,500,988,54,54,672,0.0546558704453
mod30_prev_gap_exact,tail_mod30,candidate,17,1,479,897,-8,-8,565,-0.00891861761427
mod30_prev_gap_exact,tail_mod30,candidate,18,1,425,758,-6,-6,522,-0.00791556728232
mod30_prev_gap_exact,tail_mod210,candidate,12,1,605,1556,-1,-1,549,-0.000642673521851
mod30_prev_gap_exact,tail_mod210,candidate,13,1,538,1336,101,101,431,0.0755988023952
mod30_prev_gap_exact,tail_mod210,candidate,14,1,567,1262,-16,-16,352,-0.0126782884311
mod30_prev_gap_exact,tail_mod210,candidate,15,1,532,1084,54,54,286,0.049815498155
mod30_prev_gap_exact,tail_mod210,candidate,16,1,500,988,20,20,286,0.0202429149798
mod30_prev_gap_exact,tail_mod210,candidate,17,1,479,897,25,25,198,0.0278706800446
mod30_prev_gap_exact,tail_mod210,candidate,18,1,425,758,53,53,207,0.0699208443272
mod30_prev_gap_exact,endpoint_mod210,candidate,12,-1,605,1556,-24,24,290,0.0154241645244
mod30_prev_gap_exact,endpoint_mod210,candidate,13,-1,538,1336,-4,4,256,0.00299401197605
mod30_prev_gap_exact,endpoint_mod210,candidate,14,-1,567,1262,42,-42,236,-0.0332805071315
mod30_prev_gap_exact,endpoint_mod210,candidate,15,-1,532,1084,26,-26,204,-0.0239852398524
mod30_prev_gap_exact,endpoint_mod210,candidate,16,-1,500,988,18,-18,182,-0.0182186234818
mod30_prev_gap_exact,endpoint_mod210,candidate,17,-1,479,897,-14,14,175,0.015607580825
mod30_prev_gap_exact,endpoint_mod210,candidate,18,-1,425,758,3,-3,153,-0.00395778364116
mod30_prev_gap_exact,current_gap_width,candidate,12,1,605,1556,-4,-4,548,-0.0025706940874
mod30_prev_gap_exact,current_gap_width,candidate,13,1,538,1336,103,103,431,0.0770958083832
mod30_prev_gap_exact,current_gap_width,candidate,14,1,567,1262,-18,-18,352,-0.0142630744849
mod30_prev_gap_exact,current_gap_width,candidate,15,1,532,1084,53,53,285,0.0488929889299
mod30_prev_gap_exact,current_gap_width,candidate,16,1,500,988,19,19,285,0.0192307692308
mod30_prev_gap_exact,current_gap_width,candidate,17,1,479,897,30,30,193,0.0334448160535
mod30_prev_gap_exact,current_gap_width,candidate,18,1,425,758,47,47,205,0.0620052770449
