rank,feature,high_exit_count,total_event_count,high_exit_rate
100,o4_higher_divisor_odd|5<=d<=16|r7 -> o2_odd_semiprime|d<=4|r11,9,229,0.039301310043668124
101,o2_higher_divisor_even|17<=d<=64|r11 -> o4_higher_divisor_even|5<=d<=16|r13,9,172,0.05232558139534884
102,o2_higher_divisor_even|d>64|r29 -> o6_odd_semiprime|d<=4|r1,9,167,0.05389221556886228
103,o6_higher_divisor_even|5<=d<=16|r23 -> o2_odd_semiprime|d<=4|r29,9,125,0.072
104,o6_odd_semiprime|d<=4|r23 -> o2_odd_semiprime|d<=4|r17,9,111,0.08108108108108109
105,o2_odd_semiprime|d<=4|r11 -> o4_even_semiprime|d<=4|r19,9,102,0.08823529411764706
106,o2_even_semiprime|d<=4|r29 -> o4_odd_semiprime|d<=4|r7,9,72,0.125
107,o6_odd_semiprime|d<=4|r23 -> o4_higher_divisor_even|5<=d<=16|r13,9,62,0.14516129032258066
108,o4_odd_semiprime|d<=4|r19 -> o4_higher_divisor_even|5<=d<=16|r7,9,58,0.15517241379310345
109,o2_odd_semiprime|d<=4|r17 -> o6_higher_divisor_even|5<=d<=16|r23,9,46,0.1956521739130435
110,o4_higher_divisor_odd|5<=d<=16|r19 -> o6_higher_divisor_odd|5<=d<=16|r23,9,46,0.1956521739130435
111,o4_higher_divisor_odd|5<=d<=16|r19 -> o6_higher_divisor_even|5<=d<=16|r23,9,26,0.34615384615384615
112,o4_odd_semiprime|d<=4|r19 -> o6_odd_semiprime|d<=4|r23,8,210,0.0380952380952381
113,o4_odd_semiprime|d<=4|r19 -> o6_even_semiprime|d<=4|r1,8,197,0.04060913705583756
114,o2_higher_divisor_odd|5<=d<=16|r17 -> o6_odd_semiprime|d<=4|r23,8,138,0.057971014492753624
115,o6_higher_divisor_odd|5<=d<=16|r1 -> o4_odd_semiprime|d<=4|r7,8,126,0.06349206349206349
116,o6_odd_semiprime|d<=4|r23 -> o4_odd_semiprime|d<=4|r13,8,94,0.0851063829787234
117,o6_odd_semiprime|d<=4|r23 -> o4_even_semiprime|d<=4|r13,8,92,0.08695652173913043
118,o4_odd_semiprime|d<=4|r13 -> o4_odd_semiprime|d<=4|r7,8,91,0.08791208791208792
119,o2_odd_semiprime|d<=4|r29 -> o6_odd_semiprime|d<=4|r23,8,90,0.08888888888888889
120,o4_odd_semiprime|d<=4|r13 -> o2_odd_semiprime|d<=4|r11,8,79,0.10126582278481013
121,o2_higher_divisor_even|5<=d<=16|r29 -> o6_odd_semiprime|d<=4|r1,8,78,0.10256410256410256
122,o6_even_semiprime|d<=4|r1 -> o4_odd_semiprime|d<=4|r19,8,76,0.10526315789473684
123,o6_higher_divisor_even|5<=d<=16|r1 -> o4_even_semiprime|d<=4|r7,8,58,0.13793103448275862
124,o4_odd_semiprime|d<=4|r19 -> o4_even_semiprime|d<=4|r7,8,55,0.14545454545454545
125,o4_even_semiprime|d<=4|r7 -> o2_odd_semiprime|d<=4|r29,8,38,0.21052631578947367
126,o2_odd_semiprime|d<=4|r17 -> o4_higher_divisor_odd|5<=d<=16|r7,8,35,0.22857142857142856
127,o4_even_semiprime|d<=4|r19 -> o4_odd_semiprime|d<=4|r7,8,28,0.2857142857142857
128,o4_even_semiprime|d<=4|r13 -> o2_odd_semiprime|d<=4|r29,7,115,0.06086956521739131
129,o4_higher_divisor_even|5<=d<=16|r13 -> o4_odd_semiprime|d<=4|r19,7,106,0.0660377358490566
130,o2_odd_semiprime|d<=4|r11 -> o6_even_semiprime|d<=4|r23,7,98,0.07142857142857142
131,o2_higher_divisor_even|d>64|r29 -> o6_even_semiprime|d<=4|r1,7,85,0.08235294117647059
132,o4_higher_divisor_even|5<=d<=16|r19 -> o6_even_semiprime|d<=4|r23,7,84,0.08333333333333333
133,o4_even_semiprime|d<=4|r7 -> o4_odd_semiprime|d<=4|r13,7,79,0.08860759493670886
134,o4_odd_semiprime|d<=4|r7 -> o4_even_semiprime|d<=4|r19,7,69,0.10144927536231885
135,o2_odd_semiprime|d<=4|r17 -> o2_odd_semiprime|d<=4|r17,7,65,0.1076923076923077
136,o6_even_semiprime|d<=4|r1 -> o4_higher_divisor_even|5<=d<=16|r7,7,57,0.12280701754385964
137,o4_even_semiprime|d<=4|r13 -> o4_odd_semiprime|d<=4|r7,7,54,0.12962962962962962
138,o4_even_semiprime|d<=4|r19 -> o2_odd_semiprime|d<=4|r11,7,53,0.1320754716981132
139,o2_higher_divisor_even|5<=d<=16|r17 -> o6_odd_semiprime|d<=4|r23,7,46,0.15217391304347827
140,o6_higher_divisor_even|5<=d<=16|r1 -> o4_higher_divisor_odd|5<=d<=16|r7,7,39,0.1794871794871795
141,o2_higher_divisor_odd|5<=d<=16|r17 -> o6_even_semiprime|d<=4|r23,7,35,0.2
142,o6_odd_semiprime|d<=4|r1 -> o6_higher_divisor_odd|5<=d<=16|r23,7,19,0.3684210526315789
143,o6_even_semiprime|d<=4|r1 -> o2_odd_semiprime|d<=4|r17,6,85,0.07058823529411765
144,o4_odd_semiprime|d<=4|r19 -> o6_even_semiprime|d<=4|r23,6,79,0.0759493670886076
145,o4_odd_semiprime|d<=4|r19 -> o2_even_semiprime|d<=4|r29,6,77,0.07792207792207792
146,o6_odd_semiprime|d<=4|r1 -> o2_even_semiprime|d<=4|r11,6,63,0.09523809523809523
147,o4_higher_divisor_odd|5<=d<=16|r7 -> o4_even_semiprime|d<=4|r13,6,61,0.09836065573770492
148,o2_even_semiprime|d<=4|r11 -> o6_odd_semiprime|d<=4|r23,6,59,0.1016949152542373
149,o4_odd_semiprime|d<=4|r19 -> o4_odd_semiprime|d<=4|r19,6,55,0.10909090909090909
150,o6_odd_semiprime|d<=4|r23 -> o6_odd_semiprime|d<=4|r23,6,55,0.10909090909090909
151,o4_higher_divisor_odd|5<=d<=16|r13 -> o4_odd_semiprime|d<=4|r19,6,51,0.11764705882352941
152,o4_higher_divisor_even|5<=d<=16|r7 -> o2_even_semiprime|d<=4|r11,6,48,0.125
153,o2_odd_semiprime|d<=4|r17 -> o4_even_semiprime|d<=4|r7,6,45,0.13333333333333333
154,o6_even_semiprime|d<=4|r23 -> o2_odd_semiprime|d<=4|r17,6,45,0.13333333333333333
155,o6_odd_semiprime|d<=4|r1 -> o6_odd_semiprime|d<=4|r1,6,45,0.13333333333333333
156,o2_odd_semiprime|d<=4|r11 -> o6_higher_divisor_odd|5<=d<=16|r23,6,42,0.14285714285714285
157,o2_higher_divisor_even|17<=d<=64|r11 -> o4_higher_divisor_odd|5<=d<=16|r13,6,26,0.23076923076923078
158,o4_odd_semiprime|d<=4|r7 -> o6_higher_divisor_even|5<=d<=16|r23,6,19,0.3157894736842105
159,o4_even_semiprime|d<=4|r19 -> o2_odd_semiprime|d<=4|r29,5,142,0.035211267605633804
160,o2_higher_divisor_even|17<=d<=64|r29 -> o6_higher_divisor_odd|5<=d<=16|r1,5,83,0.060240963855421686
161,o6_odd_semiprime|d<=4|r23 -> o4_odd_semiprime|d<=4|r19,5,83,0.060240963855421686
162,o6_odd_semiprime|d<=4|r1 -> o2_odd_semiprime|d<=4|r29,5,79,0.06329113924050633
163,o4_even_semiprime|d<=4|r19 -> o6_odd_semiprime|d<=4|r1,5,78,0.0641025641025641
164,o2_odd_semiprime|d<=4|r11 -> o6_even_semiprime|d<=4|r1,5,76,0.06578947368421052
165,o6_even_semiprime|d<=4|r1 -> o4_even_semiprime|d<=4|r7,5,72,0.06944444444444445
166,o6_even_semiprime|d<=4|r23 -> o2_odd_semiprime|d<=4|r11,5,67,0.07462686567164178
167,o4_odd_semiprime|d<=4|r19 -> o4_even_semiprime|d<=4|r13,5,55,0.09090909090909091
168,o2_higher_divisor_odd|5<=d<=16|r29 -> o4_odd_semiprime|d<=4|r7,5,54,0.09259259259259259
169,o4_even_semiprime|d<=4|r13 -> o6_odd_semiprime|d<=4|r1,5,52,0.09615384615384616
170,o4_even_semiprime|d<=4|r7 -> o6_odd_semiprime|d<=4|r23,5,51,0.09803921568627451
171,o2_odd_semiprime|d<=4|r17 -> o4_higher_divisor_even|5<=d<=16|r13,5,49,0.10204081632653061
172,o6_even_semiprime|d<=4|r1 -> o4_higher_divisor_even|5<=d<=16|r13,5,49,0.10204081632653061
173,o2_odd_semiprime|d<=4|r17 -> o4_even_semiprime|d<=4|r13,5,46,0.10869565217391304
174,o2_odd_semiprime|d<=4|r17 -> o4_odd_semiprime|d<=4|r19,5,41,0.12195121951219512
175,o6_higher_divisor_odd|5<=d<=16|r1 -> o4_higher_divisor_even|5<=d<=16|r7,5,40,0.125
176,o4_odd_semiprime|d<=4|r19 -> o6_higher_divisor_odd|5<=d<=16|r23,5,39,0.1282051282051282
177,o4_odd_semiprime|d<=4|r19 -> o4_higher_divisor_even|5<=d<=16|r13,5,38,0.13157894736842105
178,o2_odd_semiprime|d<=4|r29 -> o6_even_semiprime|d<=4|r23,5,31,0.16129032258064516
179,o6_even_semiprime|d<=4|r23 -> o4_higher_divisor_even|5<=d<=16|r7,5,27,0.18518518518518517
180,o6_even_semiprime|d<=4|r23 -> o4_even_semiprime|d<=4|r13,5,26,0.19230769230769232
181,o4_higher_divisor_odd|5<=d<=16|r7 -> o4_higher_divisor_even|5<=d<=16|r13,5,25,0.2
182,o2_even_semiprime|d<=4|r11 -> o6_odd_semiprime|d<=4|r1,5,20,0.25
183,o6_even_semiprime|d<=4|r23 -> o4_higher_divisor_even|5<=d<=16|r13,5,18,0.2777777777777778
184,o2_odd_semiprime|d<=4|r11 -> o4_higher_divisor_even|5<=d<=16|r13,5,16,0.3125
185,o2_higher_divisor_odd|5<=d<=16|r17 -> o6_higher_divisor_even|5<=d<=16|r23,5,14,0.35714285714285715
