scale,q,candidate,factor_signature,fourth_factor,fourth_remainder,fifth_factor,fifth_remainder,fifth_remainder_tau,fifth_remainder_family,fifth_remainder_signature,fifth_strip_terminal,fifth_strip_accounted
1000000000000000000,999999999999759071,999999999999759073,7*53*73*127*367*21799*36341,127,290736467453,367,792197459,4,semiprime_distinct,21799*36341,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999726017,999999999999726019,7^3*19*109*241*5841289603,19,153444836581207,109,1407750794323,4,semiprime_distinct,241*5841289603,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999720431,999999999999720433,7^2*19*79*101*42457*3170681,79,13596377924917,101,134617603217,4,semiprime_distinct,42457*3170681,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999719717,999999999999719719,7*11^2*13^2*170669*40933157,13,90818272636429,13,6986020972033,4,semiprime_distinct,170669*40933157,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999712037,999999999999712039,17^3*61*179*461*40436117,61,3336747938723,179,18641049937,4,semiprime_distinct,461*40436117,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999699557,999999999999699559,7^2*37*103*811*1699*3886429,103,5355067768381,811,6603042871,4,semiprime_distinct,1699*3886429,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999699011,999999999999699013,7*23^2*31*83*2621*5869*6823,31,8711332572541,83,104955814127,8,multi_prime_family,2621*5869*6823,sixth_layer_multi_prime,False
1000000000000000000,999999999999689489,999999999999689491,11*23^3*41*1543*118106561,23,7471775368543,41,182238423623,4,semiprime_distinct,1543*118106561,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999679859,999999999999679861,7^2*13*43*3391*30319*355099,43,36508342156171,3391,10766246581,4,semiprime_distinct,30319*355099,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999673979,999999999999673981,7^2*11^2*79*647*3299796653,11,168662506324789,79,2134968434491,4,semiprime_distinct,647*3299796653,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999668099,999999999999668101,7^2*23*139*499*1279*10002077,139,6383535585017,499,12792656483,4,semiprime_distinct,1279*10002077,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999661061,999999999999661063,13*23*89*271*307*5471*82559,271,138665848723,307,451680289,4,semiprime_distinct,5471*82559,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999653651,999999999999653653,7*11^2*13*71*1993*641811641,13,90818272636423,71,1279130600513,4,semiprime_distinct,1993*641811641,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999642731,999999999999642733,7*13*239*281*809*1063*190271,281,163626781057,809,202258073,4,semiprime_distinct,1063*190271,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999641639,999999999999641641,7^4*11*13^2*761*2917*100927,7,416493127863241,11,37863011623931,24,multi_prime_family,13^2*761*2917*100927,sixth_layer_multi_prime,False
1000000000000000000,999999999999640517,999999999999640519,11*19^2*157*1153*4547*305947,157,1603985583377,1153,1391141009,4,semiprime_distinct,4547*305947,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999634709,999999999999634711,7*11*29*43*179*37189*1564499,43,10414605442669,179,58182153311,4,semiprime_distinct,37189*1564499,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999614381,999999999999614383,7*11*31*53*101*773*1279*79159,53,7904450996353,101,78261891053,8,multi_prime_family,773*1279*79159,sixth_layer_multi_prime,False
1000000000000000000,999999999999613037,999999999999613039,7*23*43*103*2467*18919*30047,103,1402388829131,2467,568459193,4,semiprime_distinct,18919*30047,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999607619,999999999999607621,7*43*79*163*331*3253*239611,163,257999466973,331,779454583,4,semiprime_distinct,3253*239611,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999602897,999999999999602899,11*17*19*41*83*4057*20386273,41,6864690093563,83,82707109561,4,semiprime_distinct,4057*20386273,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999586367,999999999999586369,7^2*19^2*139*3769*107908531,19,56532308214121,139,406707253339,4,semiprime_distinct,3769*107908531,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999580487,999999999999580489,7^2*13*59*83*467657*685493,59,26607774791783,83,320575599901,4,semiprime_distinct,467657*685493,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999579599,999999999999579601,11^2*31*547*2447*6959*28621,547,487377649933,2447,199173539,4,semiprime_distinct,6959*28621,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999571499,999999999999571501,7*23*43*131*137*6977*1153573,131,1102641598477,137,8048478821,4,semiprime_distinct,6977*1153573,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999569567,999999999999569569,7*11*13*23*829*77351*677357,23,43434826043503,829,52394241307,4,semiprime_distinct,77351*677357,fifth_strip_semiprime_distinct,True
1000000000000000000,999999999999540797,999999999999540799,7^4*43*809*54647*219091,7,416493127863199,43,9685886694493,8,multi_prime_family,809*54647*219091,sixth_layer_multi_prime,False
