q,q_mod30,w,tau_w,candidate,candidate_mod30,status,endpoint_class,tau_candidate,endpoint_fixed_point,endpoint_family,factor_signature,least_factor,least_factor_mod30,cofactor,cofactor_mod30,cofactor_tau,cofactor_family,reduced_obstruction_family,low_complexity_cofactor_obstruction,higher_cofactor_obstruction,second_factor,second_factor_mod30,second_remainder,second_remainder_mod30,second_remainder_tau,second_remainder_family,second_strip_family,second_strip_low_complexity_remainder,third_factor,third_factor_mod30,third_remainder,third_remainder_mod30,third_remainder_tau,third_remainder_family,third_strip_family,third_strip_low_complexity_remainder,third_strip_prime_power_tail
808589,29,808590,16,808591,1,excluded,composite_obstruction,4,False,semiprime_distinct,7*115513,7,7,115513,13,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808601,11,808602,32,808603,13,unresolved,prime_closure,2,True,fixed_point,808603,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808637,17,808638,16,808639,19,excluded,composite_obstruction,8,False,multi_prime_family,13*17*3659,13,13,62203,13,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808679,29,808680,64,808681,1,unresolved,prime_closure,2,True,fixed_point,808681,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808721,11,808722,24,808723,13,excluded,composite_obstruction,8,False,multi_prime_family,29*79*353,29,29,27887,17,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808739,29,808740,36,808741,1,excluded,composite_obstruction,8,False,multi_prime_family,17*113*421,17,17,47573,23,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808751,11,808752,80,808753,13,excluded,composite_obstruction,4,False,semiprime_distinct,11*73523,11,11,73523,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808919,29,808920,128,808921,1,excluded,composite_obstruction,8,False,multi_prime_family,61*89*149,61,1,13261,1,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808937,17,808938,24,808939,19,excluded,composite_obstruction,4,False,semiprime_distinct,53*15263,53,23,15263,23,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808961,11,808962,64,808963,13,excluded,composite_obstruction,4,False,semiprime_distinct,19*42577,19,19,42577,7,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
808991,11,808992,54,808993,13,unresolved,prime_closure,2,True,fixed_point,808993,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809051,11,809052,12,809053,13,excluded,composite_obstruction,8,False,multi_prime_family,7*41*2819,7,7,115579,19,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809087,17,809088,96,809089,19,excluded,composite_obstruction,4,False,semiprime_distinct,419*1931,419,29,1931,11,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809141,11,809142,8,809143,13,unresolved,prime_closure,2,True,fixed_point,809143,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809147,17,809148,12,809149,19,excluded,composite_obstruction,8,False,multi_prime_family,11*17*4327,11,11,73559,29,4,semiprime_distinct,least_factor_times_semiprime_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809177,17,809178,16,809179,19,excluded,composite_obstruction,4,False,semiprime_distinct,7*115597,7,7,115597,7,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809189,29,809190,64,809191,1,excluded,composite_obstruction,4,False,semiprime_distinct,19*42589,19,19,42589,19,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809201,11,809202,8,809203,13,unresolved,prime_closure,2,True,fixed_point,809203,,,,,,,endpoint_fixed_point,False,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
809231,11,809232,40,809233,13,excluded,composite_obstruction,4,False,semiprime_distinct,757*1069,757,7,1069,19,2,fixed_point,least_factor_times_fixed_point_cofactor,True,False,,,,,,,not_second_stripped,False,,,,,,,not_third_stripped,False,False
