field,decile,count,min_value,mean_value,max_value,mean_gap,mean_next_gap,mean_gap_delta,next_gap_le_current_share,mean_next_gap_divisor_count,surface
gap_divisor_count,2,281,118.0,168.76868327402136,220.0,7.516014234875445,30.85409252669039,23.338078291814945,0.2491103202846975,918.626334519573,decade_window
gap_divisor_count,3,280,220.0,264.3642857142857,314.0,10.85,27.007142857142856,16.15714285714286,0.3107142857142857,824.2285714285714,decade_window
gap_divisor_count,4,281,314.0,375.2384341637011,452.0,14.220640569395018,27.693950177935942,13.473309608540925,0.3879003558718861,901.8718861209965,decade_window
gap_divisor_count,5,280,454.0,527.9285714285714,614.0,18.807142857142857,30.978571428571428,12.17142857142857,0.4607142857142857,1021.65,decade_window
gap_divisor_count,6,281,614.0,711.8505338078292,832.0,25.01779359430605,30.790035587188612,5.772241992882562,0.5373665480427047,996.9786476868327,decade_window
gap_divisor_count,7,280,832.0,962.9285714285714,1100.0,31.728571428571428,32.51428571428571,0.7857142857142857,0.6214285714285714,1080.6357142857144,decade_window
gap_divisor_count,8,281,1102.0,1309.964412811388,1592.0,40.5338078291815,28.718861209964412,-11.814946619217082,0.7580071174377224,1005.4875444839857,decade_window
gap_divisor_count,9,280,1592.0,1945.6642857142858,2384.0,57.457142857142856,34.22142857142857,-23.235714285714284,0.8214285714285714,1214.692857142857,decade_window
gap_divisor_count,10,281,2386.0,3796.3629893238435,9736.0,95.80071174377224,36.52669039145908,-59.27402135231317,0.9145907473309609,1403.4946619217083,decade_window
normalized_load,1,280,0.3139364146364202,0.6625941031263303,0.7765220408772117,12.914285714285715,31.45,18.535714285714285,0.30357142857142855,1093.4714285714285,decade_window
normalized_load,2,281,0.7765220531178411,0.8294729585014623,0.876252211707337,24.91103202846975,30.78291814946619,5.871886120996441,0.49110320284697506,1088.779359430605,decade_window
normalized_load,3,280,0.8762522117074173,0.9070778691947571,0.9375784723406074,37.392857142857146,32.857142857142854,-4.535714285714286,0.6142857142857143,1165.625,decade_window
normalized_load,4,281,0.9377029515140521,0.9655967861005402,0.9919476766595865,43.9644128113879,29.21708185053381,-14.747330960854093,0.6334519572953736,986.7829181494662,decade_window
normalized_load,5,280,0.992247321072196,1.019173168722906,1.0440829011609554,40.77857142857143,31.057142857142857,-9.721428571428572,0.6607142857142857,1040.5928571428572,decade_window
normalized_load,6,281,1.044406421917292,1.0737323662881515,1.1030581460810318,49.11032028469751,30.633451957295375,-18.476868327402133,0.7046263345195729,1029.0960854092527,decade_window
normalized_load,7,280,1.1032588191550985,1.135194092489424,1.1718488572906247,34.82142857142857,28.992857142857144,-5.828571428571428,0.5928571428571429,933.325,decade_window
normalized_load,8,281,1.1719814166615337,1.2329350839919722,1.2974448266729943,29.16725978647687,31.523131672597867,2.3558718861209966,0.4875444839857651,1009.2277580071175,decade_window
normalized_load,9,280,1.2974448266729972,1.41963697505773,1.5958434407741355,22.3,30.15714285714286,7.857142857142857,0.43214285714285716,913.5392857142857,decade_window
normalized_load,10,281,1.596279866288607,2.8713293026793587,24.848705409050925,10.540925266903914,29.537366548042705,18.99644128113879,0.21708185053380782,894.2313167259787,decade_window
density,1,280,8.0,17.03468910951362,19.79310344827586,15.992857142857142,23.535714285714285,7.542857142857143,0.43214285714285716,615.5357142857143,decade_window
density,2,281,19.818181818181817,21.34244400721704,22.71794871794872,24.95373665480427,24.94661921708185,-0.0071174377224199285,0.5338078291814946,665.2562277580071,decade_window
density,3,280,22.727272727272727,24.20081989811008,25.6,26.714285714285715,23.27857142857143,-3.4357142857142855,0.575,638.8785714285714,decade_window
density,4,281,25.6,27.09608090142161,28.533333333333335,28.83274021352313,30.035587188612098,1.2028469750889679,0.5160142348754448,915.4839857651245,decade_window
density,5,280,28.54237288135593,29.765323427394385,31.180722891566266,33.535714285714285,26.785714285714285,-6.75,0.5964285714285714,892.2285714285714,decade_window
density,6,281,31.2,32.59745462701502,34.22222222222222,35.02491103202847,34.213523131672595,-0.8113879003558719,0.5338078291814946,1182.964412811388,decade_window
density,7,280,34.22222222222222,35.85616243536162,37.45454545454545,41.864285714285714,34.94285714285714,-6.921428571428572,0.5928571428571429,1250.767857142857,decade_window
density,8,281,37.46987951807229,39.8314006681103,42.21052631578947,44.654804270462634,37.11032028469751,-7.544483985765124,0.5587188612099644,1417.4946619217083,decade_window
density,9,280,42.22222222222222,45.8439915663748,49.86666666666667,37.207142857142856,37.892857142857146,0.6857142857142857,0.5178571428571429,1398.982142857143,decade_window
density,10,281,49.891891891891895,87.45084309289169,768.0,17.14590747330961,33.437722419928825,16.291814946619215,0.28113879003558717,1175.832740213523,decade_window
