anchor_p,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected
3173477,68,67,1,1,0,True,True,False
3173479,67,50,17,1,16,False,False,False
3173497,69,68,1,1,0,True,True,False
3173503,68,53,15,1,14,False,False,False
3173519,68,52,16,1,15,False,False,False
3173537,68,67,1,1,0,True,True,False
3173539,67,51,16,1,15,False,False,False
3173561,68,50,18,1,17,False,False,False
3173579,68,51,17,1,16,False,False,False
3173617,69,68,1,1,0,True,True,False
3173623,68,53,15,1,14,False,False,False
3173633,67,52,15,1,14,False,False,False
3173641,68,54,14,1,13,False,False,False
3173657,68,67,1,1,0,True,True,False
3173659,67,53,14,1,13,False,False,False
3173683,68,67,1,1,0,True,True,False
3173689,67,53,14,1,13,False,False,False
3173699,68,54,14,1,13,False,False,False
3173717,68,55,13,1,12,False,False,False
3173761,68,54,14,1,13,False,False,False
3173767,69,56,13,1,12,False,False,False
3173777,68,55,13,1,12,False,False,False
3173791,68,54,14,1,13,False,False,False
3173801,68,67,1,1,0,True,True,False
3173803,68,55,13,1,12,False,False,False
3173813,67,55,12,1,11,False,False,False
3173887,69,53,16,1,15,False,False,False
3173899,67,52,15,1,14,False,False,False
3173903,67,53,14,1,13,False,False,False
3173923,68,67,1,1,0,True,True,False
3173927,68,53,15,1,14,False,False,False
3173953,68,52,16,1,15,False,False,False
3173987,68,52,16,1,15,False,False,False
3174001,68,51,17,1,16,False,False,False
3174029,68,51,17,1,16,False,False,False
3174037,69,51,18,1,17,False,False,False
3174043,68,51,17,1,16,False,False,False
3174049,67,51,16,1,15,False,False,False
3174071,68,50,18,1,17,False,False,False
3174089,68,67,1,1,0,True,True,False
3174091,68,51,17,1,16,False,False,False
3174103,68,52,16,1,15,False,False,False
3174109,67,51,16,1,15,False,False,False
3174163,68,67,1,1,0,True,True,False
3174167,68,50,18,1,17,False,False,False
3174181,68,67,1,1,0,True,True,False
3174187,69,68,1,1,0,True,True,False
3174191,68,52,16,1,15,False,False,False
3174221,68,52,16,1,15,False,False,False
3174247,69,68,1,1,0,True,True,False
3174251,68,67,1,1,0,True,True,False
3174263,67,49,18,1,17,False,False,False
3174287,68,50,18,1,17,False,False,False
3174293,67,49,18,1,17,False,False,False
3174313,68,66,2,1,1,False,False,False
3174317,68,67,1,1,0,True,True,False
3174319,67,50,17,1,16,False,False,False
3174337,69,52,17,1,16,False,False,False
3174361,68,66,2,1,1,False,False,False
3174371,68,67,1,1,0,True,True,False
3174373,68,52,16,1,15,False,False,False
3174401,68,50,18,1,17,False,False,False
3174419,68,51,17,1,16,False,False,False
3174439,67,51,16,1,15,False,False,False
3174467,68,52,16,1,15,False,False,False
3174487,69,52,17,1,16,False,False,False
3174497,68,67,1,1,0,True,True,False
3174499,67,52,15,1,14,False,False,False
3174511,68,54,14,1,13,False,False,False
3174517,69,56,13,1,12,False,False,False
3174533,67,54,13,1,12,False,False,False
3174547,69,55,14,1,13,False,False,False
3174553,68,55,13,1,12,False,False,False
3174571,68,52,16,1,15,False,False,False
3174593,67,66,1,1,0,True,True,False
3174599,68,53,15,1,14,False,False,False
3174607,69,54,15,1,14,False,False,False
3174641,68,67,1,1,0,True,True,False
3174643,68,52,16,1,15,False,False,False
3174649,67,51,16,1,15,False,False,False
3174707,68,49,19,1,18,False,False,False
3174737,68,67,1,1,0,True,True,False
3174739,67,48,19,1,18,False,False,False
3174781,68,43,25,1,24,False,False,False
3174793,68,44,24,1,23,False,False,False
3174799,67,66,1,1,0,True,True,False
3174811,68,45,23,1,22,False,False,False
3174817,69,47,22,1,21,False,False,False
3174823,68,46,22,1,21,False,False,False
3174827,68,47,21,1,20,False,False,False
3174841,68,46,22,1,21,False,False,False
3174863,67,45,22,1,21,False,False,False
3174887,68,67,1,1,0,True,True,False
3174889,67,66,1,1,0,True,True,False
3174893,67,47,20,1,19,False,False,False
3174901,68,48,20,1,19,False,False,False
3174911,68,49,19,1,18,False,False,False
3174947,68,49,19,1,18,False,False,False
3174953,67,66,1,1,0,True,True,False
3174959,68,51,17,1,16,False,False,False
3174973,68,67,1,1,0,True,True,False
3174979,67,52,15,1,14,False,False,False
3175001,68,54,14,1,13,False,False,False
3175009,67,66,1,1,0,True,True,False
3175013,67,54,13,1,12,False,False,False
3175021,68,56,12,1,11,False,False,False
3175027,69,68,1,1,0,True,True,False
3175031,68,58,10,1,9,False,False,False
3175037,68,59,9,1,8,False,False,False
3175057,69,60,9,1,8,False,False,False
3175079,68,60,8,1,7,False,False,False
3175093,68,66,2,1,1,False,False,False
3175097,68,67,1,1,0,True,True,False
3175099,67,60,7,1,6,False,False,False
3175121,68,60,8,1,7,False,False,False
3175157,68,59,9,1,8,False,False,False
3175169,68,60,8,1,7,False,False,False
3175259,68,58,10,1,9,False,False,False
3175313,67,52,15,1,14,False,False,False
3175343,67,50,17,1,16,False,False,False
3175351,68,51,17,1,16,False,False,False
3175363,68,51,17,1,16,False,False,False
3175373,67,51,16,1,15,False,False,False
3175391,68,52,16,1,15,False,False,False
3175399,67,52,15,1,14,False,False,False
3175433,67,51,16,1,15,False,False,False
3175441,68,52,16,1,15,False,False,False
3175463,67,52,15,1,14,False,False,False
3175517,68,51,17,1,16,False,False,False
3175531,68,52,16,1,15,False,False,False
3175553,67,64,3,1,2,False,False,False
3175559,68,67,1,1,0,True,True,False
3175561,68,67,1,1,0,True,True,False
3175567,69,54,15,1,14,False,False,False
3175577,68,54,14,1,13,False,False,False
3175591,68,54,14,1,13,False,False,False
3175597,69,55,14,1,13,False,False,False
3175607,68,54,14,1,13,False,False,False
3175619,68,54,14,1,13,False,False,False
3175643,67,52,15,1,14,False,False,False
3175661,68,54,14,1,13,False,False,False
3175687,69,68,1,1,0,True,True,False
3175691,68,54,14,1,13,False,False,False
3175751,68,49,19,1,18,False,False,False
