anchor_p,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected
1046369,68,67,1,1,0,True,True,False
1046371,68,52,16,1,15,False,False,False
1046389,67,65,2,1,1,False,False,False
1046393,67,66,1,1,0,True,True,False
1046399,68,54,14,1,13,False,False,False
1046413,68,53,15,1,14,False,False,False
1046447,68,67,1,1,0,True,True,False
1046449,67,50,17,1,16,False,False,False
1046459,68,51,17,1,16,False,False,False
1046497,69,53,16,1,15,False,False,False
1046519,68,53,15,1,14,False,False,False
1046527,69,54,15,1,14,False,False,False
1046557,69,52,17,1,16,False,False,False
1046579,68,50,18,1,17,False,False,False
1046587,69,52,17,1,16,False,False,False
1046597,68,67,1,1,0,True,True,False
1046599,67,51,16,1,15,False,False,False
1046627,68,51,17,1,16,False,False,False
1046641,68,51,17,1,16,False,False,False
1046657,68,67,1,1,0,True,True,False
1046659,67,52,15,1,14,False,False,False
1046677,69,68,1,1,0,True,True,False
1046681,68,53,15,1,14,False,False,False
1046687,68,54,14,1,13,False,False,False
1046701,68,54,14,1,13,False,False,False
1046711,68,54,14,1,13,False,False,False
1046779,67,50,17,1,16,False,False,False
1046791,68,50,18,1,17,False,False,False
1046797,69,52,17,1,16,False,False,False
1046807,68,51,17,1,16,False,False,False
1046827,69,52,17,1,16,False,False,False
1046833,68,51,17,1,16,False,False,False
1046849,68,51,17,1,16,False,False,False
1046863,68,50,18,1,17,False,False,False
1046867,68,51,17,1,16,False,False,False
1046897,68,48,20,1,19,False,False,False
1046917,69,48,21,1,20,False,False,False
1046933,67,47,20,1,19,False,False,False
1046951,68,47,21,1,20,False,False,False
1046959,67,47,20,1,19,False,False,False
1046977,69,49,20,1,19,False,False,False
1046993,67,66,1,1,0,True,True,False
1046999,68,48,20,1,19,False,False,False
1047031,68,46,22,1,21,False,False,False
1047041,68,67,1,1,0,True,True,False
1047043,68,47,21,1,20,False,False,False
1047061,68,44,24,1,23,False,False,False
1047077,68,44,24,1,23,False,False,False
1047089,68,44,24,1,23,False,False,False
1047097,69,46,23,1,22,False,False,False
1047107,68,46,22,1,21,False,False,False
1047119,68,67,1,1,0,True,True,False
1047127,69,46,23,1,22,False,False,False
1047131,68,67,1,1,0,True,True,False
1047133,68,67,1,1,0,True,True,False
1047139,67,46,21,1,20,False,False,False
1047157,69,49,20,1,19,False,False,False
1047173,67,47,20,1,19,False,False,False
1047197,68,67,1,1,0,True,True,False
1047199,67,49,18,1,17,False,False,False
1047229,67,47,20,1,19,False,False,False
1047239,68,48,20,1,19,False,False,False
1047247,69,49,20,1,19,False,False,False
1047271,68,48,20,1,19,False,False,False
1047281,68,67,1,1,0,True,True,False
1047283,68,48,20,1,19,False,False,False
1047289,67,48,19,1,18,False,False,False
1047307,69,67,2,1,1,False,False,False
1047311,68,67,1,1,0,True,True,False
1047313,68,50,18,1,17,False,False,False
1047317,68,67,1,1,0,True,True,False
1047323,67,51,16,1,15,False,False,False
1047341,68,51,17,1,16,False,False,False
1047367,69,53,16,1,15,False,False,False
1047373,68,53,15,1,14,False,False,False
1047379,67,53,14,1,13,False,False,False
1047391,68,54,14,1,13,False,False,False
1047419,68,51,17,1,16,False,False,False
1047467,68,67,1,1,0,True,True,False
1047469,67,66,1,1,0,True,True,False
1047479,68,48,20,1,19,False,False,False
1047491,68,48,20,1,19,False,False,False
1047499,67,47,20,1,19,False,False,False
1047511,68,48,20,1,19,False,False,False
1047533,67,66,1,1,0,True,True,False
1047539,68,48,20,1,19,False,False,False
1047551,68,49,19,1,18,False,False,False
1047559,67,49,18,1,17,False,False,False
1047587,68,67,1,1,0,True,True,False
1047589,67,48,19,1,18,False,False,False
1047647,68,67,1,1,0,True,True,False
1047649,67,66,1,1,0,True,True,False
1047653,67,47,20,1,19,False,False,False
1047667,69,68,1,1,0,True,True,False
1047671,68,49,19,1,18,False,False,False
1047689,68,67,1,1,0,True,True,False
1047691,68,49,19,1,18,False,False,False
1047701,68,67,1,1,0,True,True,False
