scale,q,candidate,factor_signature,third_factor,third_remainder,fourth_factor,fourth_remainder,fourth_remainder_tau,fourth_remainder_family,fourth_remainder_signature,fourth_strip_terminal,fourth_strip_accounted
1000000000000000000,999999999999726017,999999999999726019,7^3*19*109*241*5841289603,7,2915451895042933,19,153444836581207,8,multi_prime_family,109*241*5841289603,fifth_layer_multi_prime,False
1000000000000000000,999999999999723851,999999999999723853,13*19*23*179*181*5433048787,23,176025347650013,179,983381830447,4,semiprime_distinct,181*5433048787,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999720431,999999999999720433,7^2*19*79*101*42457*3170681,19,1074113856068443,79,13596377924917,8,multi_prime_family,101*42457*3170681,fifth_layer_multi_prime,False
1000000000000000000,999999999999719717,999999999999719719,7*11^2*13^2*170669*40933157,11,1180637544273577,13,90818272636429,8,multi_prime_family,13*170669*40933157,fifth_layer_multi_prime,False
1000000000000000000,999999999999714551,999999999999714553,7^2*53*131*17959*163672081,53,385059684250949,131,2939386902679,4,semiprime_distinct,17959*163672081,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999712109,999999999999712111,19*43*157*491*569*27905161,157,7796115975019,491,15878036609,4,semiprime_distinct,569*27905161,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999712037,999999999999712039,17^3*61*179*461*40436117,17,203541624262103,61,3336747938723,8,multi_prime_family,179*461*40436117,fifth_layer_multi_prime,False
1000000000000000000,999999999999707141,999999999999707143,17*293*773*1579*8731*18839,773,259719144911,1579,164483309,4,semiprime_distinct,8731*18839,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999706319,999999999999706321,7^2*11*691*43159*62210231,11,1855287569572739,691,2684931359729,4,semiprime_distinct,43159*62210231,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999703217,999999999999703219,11*19*181*19051*19699*70439,181,26434745829911,19051,1387577861,4,semiprime_distinct,19699*70439,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999699557,999999999999699559,7^2*37*103*811*1699*3886429,37,551571980143243,103,5355067768381,8,multi_prime_family,811*1699*3886429,fifth_layer_multi_prime,False
1000000000000000000,999999999999699011,999999999999699013,7*23^2*31*83*2621*5869*6823,23,270051309748771,31,8711332572541,16,multi_prime_family,83*2621*5869*6823,fifth_layer_multi_prime,False
1000000000000000000,999999999999695399,999999999999695401,7*71*601*1487*1871*1203329,601,3347874267233,1487,2251428559,4,semiprime_distinct,1871*1203329,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999689489,999999999999689491,11*23^3*41*1543*118106561,23,171850833476489,23,7471775368543,8,multi_prime_family,41*1543*118106561,fifth_layer_multi_prime,False
1000000000000000000,999999999999688169,999999999999688171,11*17*19^2*5023*2949089911,19,281452293836107,19,14813278622953,4,semiprime_distinct,5023*2949089911,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999684857,999999999999684859,7^4*1061*392547717119,7,2915451895042813,7,416493127863259,4,semiprime_distinct,1061*392547717119,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999679859,999999999999679861,7^2*13*43*3391*30319*355099,13,1569858712715353,43,36508342156171,8,multi_prime_family,3391*30319*355099,fifth_layer_multi_prime,False
1000000000000000000,999999999999678479,999999999999678481,17*19*73^2*24077*24129559,73,42410619619139,73,580967392043,4,semiprime_distinct,24077*24129559,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999677081,999999999999677083,11*71*89*499*523*55126031,89,14386626192287,499,28830914213,4,semiprime_distinct,523*55126031,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999673979,999999999999673981,7^2*11^2*79*647*3299796653,11,1855287569572679,11,168662506324789,8,multi_prime_family,79*647*3299796653,fifth_layer_multi_prime,False
1000000000000000000,999999999999668897,999999999999668899,7*11^3*365641*293541167,11,1180637544273517,11,107330685843047,4,semiprime_distinct,365641*293541167,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999668099,999999999999668101,7^2*23*139*499*1279*10002077,23,887311446317363,139,6383535585017,8,multi_prime_family,499*1279*10002077,fifth_layer_multi_prime,False
1000000000000000000,999999999999662219,999999999999662221,7^3*2659*291443*3762131,7,2915451895042747,2659,1096446745033,4,semiprime_distinct,291443*3762131,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999661061,999999999999661063,13*23*89*271*307*5471*82559,89,37578445003933,271,138665848723,8,multi_prime_family,307*5471*82559,fifth_layer_multi_prime,False
1000000000000000000,999999999999659459,999999999999659461,11^2*89*619*4651*32254301,89,92859132695669,619,150014753951,4,semiprime_distinct,4651*32254301,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999653651,999999999999653653,7*11^2*13*71*1993*641811641,11,1180637544273499,13,90818272636423,8,multi_prime_family,71*1993*641811641,fifth_layer_multi_prime,False
1000000000000000000,999999999999652979,999999999999652981,7*17*29*1163*3347*74442271,29,289771080846031,1163,249158281037,4,semiprime_distinct,3347*74442271,fourth_strip_semiprime_distinct,True
1000000000000000000,999999999999647177,999999999999647179,13*41*89*2689*14437*543019,89,21080591099767,2689,7839565303,4,semiprime_distinct,14437*543019,fourth_strip_semiprime_distinct,True
