p,q,gap_len,w,tau_w,frac_pos,budget,packet
629779,629803,24,629781,4,0.08333333333333333,1789.3216845289771,d4_semiprime
629891,629897,6,629893,8,0.3333333333333333,373.8925880715984,d8_plus
629963,629977,14,629966,4,0.21428571428571427,1375.4028731008461,d4_semiprime
630067,630101,34,630073,4,0.17647058823529413,2577.2461446678694,d4_semiprime
630181,630193,12,630185,4,0.3333333333333333,881.3491217855062,d4_semiprime
630299,630307,8,630303,4,0.5,894.7149651529522,d4_semiprime
630467,630473,6,630469,4,0.3333333333333333,387.272360295726,d4_semiprime
630577,630583,6,630579,4,0.3333333333333333,360.5686670202022,d4_semiprime
630677,630689,12,630687,4,0.8333333333333334,747.8552440939216,d4_semiprime
630797,630803,6,630799,4,0.3333333333333333,734.5108988386122,d4_semiprime
630899,630901,2,630900,54,0.5,347.2274689093314,d8_plus
631003,631013,10,631007,4,0.4,1055.0507747067297,d4_semiprime
631151,631153,2,631152,50,0.5,320.52724799987544,d8_plus
631247,631249,2,631248,20,0.5,120.1990868212487,d8_plus
631357,631361,4,631358,16,0.25,414.02453695919877,d8_plus
631457,631459,2,631458,12,0.5,66.77893355123683,d8_plus
631529,631531,2,631530,32,0.5,200.3385108837383,d8_plus
631597,631613,16,631599,4,0.125,1135.2616682714647,d4_semiprime
631711,631717,6,631714,4,0.5,440.75433095688044,d4_semiprime
631817,631819,2,631818,24,0.5,146.91992322670058,d8_plus
631889,631901,12,631893,4,0.3333333333333333,1335.647633615626,d4_semiprime
631987,631991,4,631990,8,0.75,200.34940585409143,d8_plus
632087,632089,2,632088,24,0.5,146.9246229433649,d8_plus
632189,632209,20,632191,4,0.1,1776.4756036028346,d4_semiprime
632273,632297,24,632278,4,0.20833333333333334,1682.9940561800768,d4_semiprime
632347,632351,4,632348,12,0.25,200.35795103855003,d8_plus
632447,632459,12,632449,4,0.16666666666666666,1228.8768957206323,d4_semiprime
632557,632561,4,632559,4,0.5,173.64788357152233,d4_semiprime
632669,632677,8,632673,6,0.5,520.9506533798228,d6
632773,632777,4,632774,16,0.25,601.1041710892841,d8_plus
632897,632911,14,632899,4,0.14285714285714285,1028.5718141354175,d4_semiprime
632993,633001,8,632998,4,0.625,948.4337672751441,d4_semiprime
633091,633133,42,633103,4,0.2857142857142857,3192.658360558933,d4_semiprime
633253,633257,4,633254,8,0.25,333.96571790677103,d8_plus
