gap_divisor_count,count,share,min_gap,max_gap,mean_gap
63,1,1.2298610257040954e-05,6,6,6
64,1459,0.017943672365022752,2,10,4.498971898560658
65,2,2.4597220514081907e-05,8,10,9
66,413,0.005079326036157914,2,10,5.878934624697337
67,3,3.6895830771122866e-05,4,6,4.666666666666667
68,1035,0.012729061616037388,4,10,5.611594202898551
69,3,3.6895830771122866e-05,4,6,4.666666666666667
70,427,0.005251506579756487,2,12,5.948477751756441
71,4,4.9194441028163815e-05,6,6,6
72,1269,0.01560693641618497,2,10,4.87785657998424
73,4,4.9194441028163815e-05,4,10,6.5
74,367,0.00451358996433403,4,10,6.217983651226158
75,4,4.9194441028163815e-05,6,10,7
76,956,0.011757471405731152,4,10,5.887029288702929
77,8,9.838888205632763e-05,4,10,6
78,335,0.004120034436108719,2,10,6.340298507462687
79,6,7.379166154224573e-05,4,10,6
80,980,0.012052638051900134,2,12,5.512244897959183
81,4,4.9194441028163815e-05,4,14,7.5
82,383,0.004710367728446686,4,12,6.7206266318537855
83,2,2.4597220514081907e-05,4,6,5
84,915,0.011253228385192474,2,12,6.104918032786885
85,6,7.379166154224573e-05,4,8,6
86,392,0.004821055220760054,4,12,7.066326530612245
87,4,4.9194441028163815e-05,4,10,6.5
88,811,0.009974172918460214,2,12,6.431565967940814
89,3,3.6895830771122866e-05,6,8,6.666666666666667
90,381,0.004685770507932604,2,12,6.986876640419948
91,9,0.00011068749231336859,6,10,7.777777777777778
92,751,0.009236256303037756,4,12,6.774966711051931
93,7,8.609027179928667e-05,6,10,7.428571428571429
94,389,0.004784159389988931,4,12,7.825192802056555
95,8,9.838888205632763e-05,6,12,7.75
96,1025,0.012606075513466979,2,14,5.8497560975609755
97,2,2.4597220514081907e-05,10,10,10
98,401,0.004931742713073423,4,12,7.975062344139651
99,4,4.9194441028163815e-05,6,14,10.5
100,723,0.00889189521584061,2,12,7.394190871369295
101,6,7.379166154224573e-05,6,10,7.333333333333333
102,381,0.004685770507932604,4,12,8.20997375328084
103,4,4.9194441028163815e-05,6,12,9.5
104,763,0.009383839626122248,2,12,7.703800786369594
105,4,4.9194441028163815e-05,8,10,9
106,478,0.005878735702865576,4,14,8.577405857740585
107,9,0.00011068749231336859,6,12,8.222222222222221
108,732,0.009002582708153978,2,12,7.6775956284153
109,10,0.00012298610257040955,4,14,8.6
110,410,0.005042430205386791,4,12,8.91219512195122
111,2,2.4597220514081907e-05,8,12,10
