a,square,endpoint_offsets,component_word,s4,slack_4a,slack_2a,utilization_4a,utilization_2a,half_wall_status,fixed_256_status,a_mod_30
773,597529,10|22|30|48,10|12|8|18,48,3044,1498,0.01552393273,0.031047865459,pass,pass,23
787,619369,4|22|28|102,4|18|6|74,102,3046,1472,0.032401524778,0.064803049555,pass,pass,7
797,635209,40|42|54|58,40|2|12|4,58,3130,1536,0.018193224592,0.036386449184,pass,pass,17
809,654481,10|18|28|46,10|8|10|18,46,3190,1572,0.014215080346,0.028430160692,pass,pass,29
811,657721,22|58|72|88,22|36|14|16,88,3156,1534,0.027127003699,0.054254007398,pass,pass,1
821,674041,16|18|30|42,16|2|12|12,42,3242,1600,0.012789281364,0.025578562728,pass,pass,11
823,677329,4|28|42|58,4|24|14|16,58,3234,1588,0.017618469016,0.035236938032,pass,pass,13
827,683929,4|10|28|54,4|6|18|26,54,3254,1600,0.016324062878,0.032648125756,pass,pass,17
829,687241,36|48|58|66,36|12|10|8,66,3250,1592,0.019903498191,0.039806996381,pass,pass,19
839,703921,22|28|36|60,22|6|8|24,60,3296,1618,0.017878426698,0.035756853397,pass,pass,29
853,727609,4|12|24|58,4|8|12|34,58,3354,1648,0.016998827667,0.033997655334,pass,pass,13
857,734449,22|24|28|30,22|2|4|2,30,3398,1684,0.008751458576,0.017502917153,pass,pass,17
859,737881,6|16|40|46,6|10|24|6,46,3390,1672,0.01338766007,0.02677532014,pass,pass,19
863,744769,22|42|48|54,22|20|6|6,54,3398,1672,0.015643105446,0.031286210892,pass,pass,23
877,769129,18|22|30|40,18|4|8|10,40,3468,1714,0.011402508552,0.022805017104,pass,pass,7
881,776161,12|16|18|22,12|4|2|4,22,3502,1740,0.006242905789,0.012485811578,pass,pass,11
883,779689,4|10|18|42,4|6|8|24,42,3490,1724,0.011891279728,0.023782559456,pass,pass,13
887,786769,34|54|60|64,34|20|6|4,64,3484,1710,0.018038331454,0.036076662909,pass,pass,17
907,822649,18|22|24|34,18|4|2|10,34,3594,1780,0.009371554576,0.018743109151,pass,pass,7
911,829921,28|46|58|66,28|18|12|8,66,3578,1756,0.018111964874,0.036223929748,pass,pass,11
919,844561,40|42|48|58,40|2|6|10,58,3618,1780,0.015778019587,0.031556039173,pass,pass,19
929,863041,6|40|46|78,6|34|6|32,78,3638,1780,0.020990312164,0.041980624327,pass,pass,29
937,877969,28|42|52|54,28|14|10|2,54,3694,1820,0.014407684098,0.028815368196,pass,pass,7
941,885481,6|16|22|28,6|10|6|6,28,3736,1854,0.007438894793,0.014877789586,pass,pass,11
947,896809,28|58|70|88,28|30|12|18,88,3700,1806,0.0232312566,0.0464625132,pass,pass,17
953,908209,4|12|24|40,4|8|12|16,40,3772,1866,0.010493179433,0.020986358867,pass,pass,23
967,935089,4|18|24|58,4|14|6|34,58,3810,1876,0.014994829369,0.029989658738,pass,pass,7
971,942841,6|12|16|18,6|6|4|2,18,3866,1924,0.004634397528,0.009268795057,pass,pass,11
977,954529,10|42|70|90,10|32|28|20,90,3818,1864,0.023029682702,0.046059365404,pass,pass,17
983,966289,4|18|24|30,4|14|6|6,30,3902,1936,0.007629704985,0.015259409969,pass,pass,23
991,982081,6|16|18|22,6|10|2|4,22,3942,1960,0.005549949546,0.011099899092,pass,pass,1
997,994009,4|18|30|42,4|14|12|12,42,3946,1952,0.010531594784,0.021063189569,pass,pass,7
1009,1018081,10|16|28|42,10|6|12|14,42,3994,1976,0.010406342914,0.020812685828,pass,pass,19
1013,1026169,28|30|48|58,28|2|18|10,58,3994,1968,0.014313919052,0.028627838105,pass,pass,23
1019,1038361,22|30|48|60,22|8|18|12,60,4016,1978,0.014720314033,0.029440628067,pass,pass,29
1021,1042441,10|28|46|78,10|18|18|32,78,4006,1964,0.019098922625,0.03819784525,pass,pass,1
1031,1062961,16|18|28|40,16|2|10|12,40,4084,2022,0.009699321048,0.019398642095,pass,pass,11
1033,1067089,48|58|70|78,48|10|12|8,78,4054,1988,0.018877057115,0.03775411423,pass,pass,13
1039,1079521,6|10|18|48,6|4|8|30,48,4108,2030,0.011549566891,0.023099133782,pass,pass,19
1049,1100401,18|40|42|46,18|22|2|4,46,4150,2052,0.010962821735,0.02192564347,pass,pass,29
1051,1104601,12|18|58|60,12|6|40|2,60,4144,2042,0.014272121789,0.028544243578,pass,pass,1
1061,1125721,18|42|46|72,18|24|4|26,72,4172,2050,0.016965127238,0.033930254477,pass,pass,11
1063,1129969,22|42|54|70,22|20|12|16,70,4182,2056,0.016462841016,0.032925682032,pass,pass,13
1069,1142761,12|16|22|28,12|4|6|6,28,4248,2110,0.006548175865,0.013096351731,pass,pass,19
1087,1181569,4|12|42|48,4|8|30|6,48,4300,2126,0.011039558418,0.022079116835,pass,pass,7
1091,1190281,10|30|66|78,10|20|36|12,78,4286,2104,0.017873510541,0.035747021082,pass,pass,11
1093,1194649,10|18|22|30,10|8|4|8,30,4342,2156,0.006861848124,0.013723696249,pass,pass,13
1097,1203409,12|28|34|48,12|16|6|14,48,4340,2146,0.010938924339,0.021877848678,pass,pass,17
1103,1216609,10|72|84|102,10|62|12|18,102,4310,2104,0.023118766999,0.046237533998,pass,pass,23
1109,1229881,16|22|30|58,16|6|8|28,58,4378,2160,0.0130748422,0.0261496844,pass,pass,29
1117,1247689,4|10|48|70,4|6|38|22,70,4398,2164,0.015666965085,0.03133393017,pass,pass,7
1123,1261129,4|28|42|48,4|24|14|6,48,4444,2198,0.010685663402,0.021371326803,pass,pass,13
1129,1274641,30|60|78|82,30|30|18|4,82,4434,2176,0.018157661647,0.036315323295,pass,pass,19
1151,1324801,18|30|36|48,18|12|6|12,48,4556,2254,0.010425716768,0.020851433536,pass,pass,11
1153,1329409,28|30|48|70,28|2|18|22,70,4542,2236,0.015177797051,0.030355594102,pass,pass,13
1163,1352569,28|30|58|72,28|2|28|14,72,4580,2254,0.015477214101,0.030954428203,pass,pass,23
1171,1371241,18|22|60|102,18|4|38|42,102,4582,2240,0.021776259607,0.043552519214,pass,pass,1
1181,1394761,16|60|70|88,16|44|10|18,88,4636,2274,0.018628281118,0.037256562235,pass,pass,11
1187,1408969,18|22|24|30,18|4|2|6,30,4718,2344,0.006318449874,0.012636899747,pass,pass,17
1193,1423249,10|24|28|34,10|14|4|6,34,4738,2352,0.007124895222,0.014249790444,pass,pass,23
1201,1442401,10|28|36|52,10|18|8|16,52,4752,2350,0.010824313072,0.021648626145,pass,pass,1
1213,1471369,28|34|40|42,28|6|6|2,42,4810,2384,0.008656224237,0.017312448475,pass,pass,13
1217,1481089,10|24|54|64,10|14|30|10,64,4804,2370,0.013147082991,0.026294165982,pass,pass,17
1223,1495729,22|42|48|54,22|20|6|6,54,4838,2392,0.01103843009,0.02207686018,pass,pass,23
1229,1510441,28|36|48|52,28|8|12|4,52,4864,2406,0.010577705452,0.021155410903,pass,pass,29
1231,1515361,16|30|52|58,16|14|22|6,58,4866,2404,0.01177904143,0.023558082859,pass,pass,1
1237,1530169,4|28|58|60,4|24|30|2,60,4888,2414,0.01212611156,0.02425222312,pass,pass,7
1249,1560001,6|10|22|36,6|4|12|14,36,4960,2462,0.007205764612,0.014411529223,pass,pass,19
1259,1585081,12|46|66|120,12|34|20|54,120,4916,2398,0.023828435266,0.047656870532,pass,pass,29
1277,1630729,34|42|48|52,34|8|6|4,52,5056,2502,0.010180109632,0.020360219264,pass,pass,17
1279,1635841,22|48|58|72,22|26|10|14,72,5044,2486,0.014073494918,0.028146989836,pass,pass,19
1283,1646089,12|18|22|54,12|6|4|32,54,5078,2512,0.010522213562,0.021044427124,pass,pass,23
1289,1661521,28|36|46|66,28|8|10|20,66,5090,2512,0.012800620636,0.025601241272,pass,pass,29
1291,1666681,30|46|48|52,30|16|2|4,52,5112,2530,0.0100697134,0.020139426801,pass,pass,1
1297,1682209,28|40|42|48,28|12|2|6,48,5140,2546,0.009252120278,0.018504240555,pass,pass,7
1301,1692601,28|36|40|66,28|8|4|26,66,5138,2536,0.012682551883,0.025365103766,pass,pass,11
1303,1697809,18|24|58|60,18|6|34|2,60,5152,2546,0.011511895625,0.023023791251,pass,pass,13
1307,1708249,34|58|72|90,34|24|14|18,90,5138,2524,0.017214996174,0.034429992349,pass,pass,17
1319,1739761,6|30|46|60,6|24|16|14,60,5216,2578,0.011372251706,0.022744503412,pass,pass,29
1321,1745041,16|36|46|70,16|20|10|24,70,5214,2572,0.013247539743,0.026495079485,pass,pass,1
1327,1760929,18|24|30|52,18|6|6|22,52,5256,2602,0.009796533534,0.019593067069,pass,pass,7
1361,1852321,6|42|52|72,6|36|10|20,72,5372,2650,0.013225569434,0.026451138868,pass,pass,11
1367,1868689,4|12|28|30,4|8|16|2,30,5438,2704,0.005486466715,0.010972933431,pass,pass,17
1373,1885129,22|24|30|42,22|2|6|12,42,5450,2704,0.007647487254,0.015294974508,pass,pass,23
1381,1907161,28|42|48|70,28|14|6|22,70,5454,2692,0.012671976828,0.025343953657,pass,pass,1
1399,1957201,42|82|88|100,42|40|6|12,100,5496,2698,0.017869907076,0.035739814153,pass,pass,19
1409,1985281,6|12|22|36,6|6|10|14,36,5600,2782,0.006387508872,0.012775017743,pass,pass,29
1423,2024929,4|48|100|114,4|44|52|14,114,5578,2732,0.020028109628,0.040056219255,pass,pass,13
1427,2036329,10|12|28|58,10|2|16|30,58,5650,2796,0.010161177295,0.02032235459,pass,pass,17
1429,2042041,18|36|42|66,18|18|6|24,66,5650,2792,0.011546536039,0.023093072078,pass,pass,19
