scale,q,q_mod30,candidate,candidate_mod30,status,endpoint_class,tau_candidate,endpoint_family,factor_signature,false_exclusion,unresolved_composite,least_factor,cofactor,first_remainder_family,second_factor,second_remainder,second_remainder_family,third_factor,third_remainder,third_remainder_family,grammar_terminal,terminal_family,grammar_accounted
1000000000,999978887,17,999978889,19,excluded,composite_obstruction,64,multi_prime_family,7*13*23*41*43*271,False,False,7,142854127,multi_prime_family,13,10988779,multi_prime_family,23,477773,multi_prime_family,,multi_prime_family,False
1000000000,999939029,29,999939031,1,excluded,composite_obstruction,36,multi_prime_family,7^2*13^2*17*7103,False,False,7,142848433,multi_prime_family,7,20406919,multi_prime_family,13,1569763,multi_prime_family,,multi_prime_family,False
1000000000,999919919,29,999919921,1,excluded,composite_obstruction,36,multi_prime_family,7^2*11^2*13*12973,False,False,7,142845703,multi_prime_family,7,20406529,multi_prime_family,11,1855139,multi_prime_family,,multi_prime_family,False
1000000000,999895271,11,999895273,13,excluded,composite_obstruction,48,multi_prime_family,13*17*19^2*83*151,False,False,13,76915021,multi_prime_family,17,4524413,multi_prime_family,19,238127,multi_prime_family,,multi_prime_family,False
1000000000,999877289,29,999877291,1,excluded,composite_obstruction,36,multi_prime_family,7^2*41^2*61*199,False,False,7,142839613,multi_prime_family,7,20405659,multi_prime_family,41,497699,multi_prime_family,,multi_prime_family,False
1000000000,999855239,29,999855241,1,excluded,composite_obstruction,48,multi_prime_family,7^2*11*23*59*1367,False,False,7,142836463,multi_prime_family,7,20405209,multi_prime_family,11,1855019,multi_prime_family,,multi_prime_family,False
1000000000,999850829,29,999850831,1,excluded,composite_obstruction,20,multi_prime_family,7^4*89*4679,False,False,7,142835833,multi_prime_family,7,20405119,multi_prime_family,7,2915017,multi_prime_family,,multi_prime_family,False
1000000000,999839069,29,999839071,1,excluded,composite_obstruction,48,multi_prime_family,7^2*11*17*19*5743,False,False,7,142834153,multi_prime_family,7,20404879,multi_prime_family,11,1854989,multi_prime_family,,multi_prime_family,False
1000000000,999833357,17,999833359,19,excluded,composite_obstruction,48,multi_prime_family,7*17^2*31*107*149,False,False,7,142833337,multi_prime_family,17,8401961,multi_prime_family,17,494233,multi_prime_family,,multi_prime_family,False
1000000000,999782639,29,999782641,1,excluded,composite_obstruction,48,multi_prime_family,11*13*19^2*107*181,False,False,11,90889331,multi_prime_family,13,6991487,multi_prime_family,19,367973,multi_prime_family,,multi_prime_family,False
10000000000,9999988451,11,9999988453,13,excluded,composite_obstruction,48,multi_prime_family,7^2*13*43*67*5449,False,False,7,1428569779,multi_prime_family,7,204081397,multi_prime_family,13,15698569,multi_prime_family,,multi_prime_family,False
10000000000,9999973187,17,9999973189,19,excluded,composite_obstruction,48,multi_prime_family,17*23^2*47*59*401,False,False,17,588233717,multi_prime_family,23,25575379,multi_prime_family,23,1111973,multi_prime_family,,multi_prime_family,False
10000000000,9999966149,29,9999966151,1,excluded,composite_obstruction,48,multi_prime_family,7*17^2*23*29*7411,False,False,7,1428566593,multi_prime_family,17,84033329,multi_prime_family,17,4943137,multi_prime_family,,multi_prime_family,False
10000000000,9999960227,17,9999960229,19,excluded,composite_obstruction,32,multi_prime_family,7^3*41*251*2833,False,False,7,1428565747,multi_prime_family,7,204080821,multi_prime_family,7,29154403,multi_prime_family,,multi_prime_family,False
10000000000,9999946409,29,9999946411,1,excluded,composite_obstruction,48,multi_prime_family,7^2*13*19*571*1447,False,False,7,1428563773,multi_prime_family,7,204080539,multi_prime_family,13,15698503,multi_prime_family,,multi_prime_family,False
10000000000,9999937589,29,9999937591,1,excluded,composite_obstruction,32,multi_prime_family,7^3*17*257*6673,False,False,7,1428562513,multi_prime_family,7,204080359,multi_prime_family,7,29154337,multi_prime_family,,multi_prime_family,False
10000000000,9999934271,11,9999934273,13,excluded,composite_obstruction,64,multi_prime_family,7*23*43*47*73*421,False,False,7,1428562039,multi_prime_family,23,62111393,multi_prime_family,43,1444451,multi_prime_family,,multi_prime_family,False
10000000000,9999927299,29,9999927301,1,excluded,composite_obstruction,20,multi_prime_family,7^4*13*320377,False,False,7,1428561043,multi_prime_family,7,204080149,multi_prime_family,7,29154307,multi_prime_family,,multi_prime_family,False
10000000000,9999912011,11,9999912013,13,excluded,composite_obstruction,36,multi_prime_family,7^2*13^2*41*29453,False,False,7,1428558859,multi_prime_family,7,204079837,multi_prime_family,13,15698449,multi_prime_family,,multi_prime_family,False
10000000000,9999893627,17,9999893629,19,excluded,composite_obstruction,48,multi_prime_family,11^2*17*19*331*773,False,False,11,909081239,multi_prime_family,11,82643749,multi_prime_family,17,4861397,multi_prime_family,,multi_prime_family,False
10000000000,9999867617,17,9999867619,19,excluded,composite_obstruction,64,multi_prime_family,7^3*17*23*173*431,False,False,7,1428552517,multi_prime_family,7,204078931,multi_prime_family,7,29154133,multi_prime_family,,multi_prime_family,False
10000000000,9999867491,11,9999867493,13,excluded,composite_obstruction,48,multi_prime_family,7*11^2*29*37*11003,False,False,7,1428552499,multi_prime_family,11,129868409,multi_prime_family,11,11806219,multi_prime_family,,multi_prime_family,False
10000000000,9999848297,17,9999848299,19,excluded,composite_obstruction,64,multi_prime_family,7*23*41*53*101*283,False,False,7,1428549757,multi_prime_family,23,62110859,multi_prime_family,41,1514899,multi_prime_family,,multi_prime_family,False
10000000000,9999847037,17,9999847039,19,excluded,composite_obstruction,32,multi_prime_family,7^3*13*311*7211,False,False,7,1428549577,multi_prime_family,7,204078511,multi_prime_family,7,29154073,multi_prime_family,,multi_prime_family,False
10000000000,9999835259,29,9999835261,1,excluded,composite_obstruction,64,multi_prime_family,13*19*31*41*53*601,False,False,13,769218097,multi_prime_family,19,40485163,multi_prime_family,31,1305973,multi_prime_family,,multi_prime_family,False
10000000000,9999832841,11,9999832843,13,excluded,composite_obstruction,64,multi_prime_family,7*11*13*23*31*14011,False,False,7,1428547549,multi_prime_family,11,129867959,multi_prime_family,13,9989843,multi_prime_family,,multi_prime_family,False
10000000000,9999818519,29,9999818521,1,excluded,composite_obstruction,48,multi_prime_family,7^2*11*31*563*1063,False,False,7,1428545503,multi_prime_family,7,204077929,multi_prime_family,11,18552539,multi_prime_family,,multi_prime_family,False
10000000000,9999791471,11,9999791473,13,excluded,composite_obstruction,32,multi_prime_family,7^3*41*67*10613,False,False,7,1428541639,multi_prime_family,7,204077377,multi_prime_family,7,29153911,multi_prime_family,,multi_prime_family,False
10000000000,9999759089,29,9999759091,1,excluded,composite_obstruction,64,multi_prime_family,7*17*29*43*79*853,False,False,7,1428537013,multi_prime_family,17,84031589,multi_prime_family,29,2897641,multi_prime_family,,multi_prime_family,False
100000000000,99999991661,11,99999991663,13,excluded,composite_obstruction,48,multi_prime_family,11*13^2*67*283*2837,False,False,11,9090908333,multi_prime_family,13,699300641,multi_prime_family,13,53792357,multi_prime_family,,multi_prime_family,False
100000000000,99999973379,29,99999973381,1,excluded,composite_obstruction,48,multi_prime_family,7*11^2*41*137*21019,False,False,7,14285710483,multi_prime_family,11,1298700953,multi_prime_family,11,118063723,multi_prime_family,,multi_prime_family,False
100000000000,99999971699,29,99999971701,1,excluded,composite_obstruction,20,multi_prime_family,7^4*739*56359,False,False,7,14285710243,multi_prime_family,7,2040815749,multi_prime_family,7,291545107,multi_prime_family,,multi_prime_family,False
100000000000,99999963941,11,99999963943,13,excluded,composite_obstruction,32,multi_prime_family,11^3*19*1511*2617,False,False,11,9090905813,multi_prime_family,11,826445983,multi_prime_family,11,75131453,multi_prime_family,,multi_prime_family,False
100000000000,99999959351,11,99999959353,13,excluded,composite_obstruction,32,multi_prime_family,7^3*223*1019*1283,False,False,7,14285708479,multi_prime_family,7,2040815497,multi_prime_family,7,291545071,multi_prime_family,,multi_prime_family,False
100000000000,99999941039,29,99999941041,1,excluded,composite_obstruction,64,multi_prime_family,7*11*13*17*29*202637,False,False,7,14285705863,multi_prime_family,11,1298700533,multi_prime_family,13,99900041,multi_prime_family,,multi_prime_family,False
100000000000,99999932849,29,99999932851,1,excluded,composite_obstruction,32,multi_prime_family,7*13^3*1571*4139,False,False,7,14285704693,multi_prime_family,13,1098900361,multi_prime_family,13,84530797,multi_prime_family,,multi_prime_family,False
100000000000,99999930539,29,99999930541,1,excluded,composite_obstruction,64,multi_prime_family,7^3*19*23*31*21521,False,False,7,14285704363,multi_prime_family,7,2040814909,multi_prime_family,7,291544987,multi_prime_family,,multi_prime_family,False
100000000000,99999929951,11,99999929953,13,excluded,composite_obstruction,48,multi_prime_family,7^2*11*59*157*20029,False,False,7,14285704279,multi_prime_family,7,2040814897,multi_prime_family,11,185528627,multi_prime_family,,multi_prime_family,False
100000000000,99999927779,29,99999927781,1,excluded,composite_obstruction,48,multi_prime_family,13^2*17*23*83*18233,False,False,13,7692302137,multi_prime_family,13,591715549,multi_prime_family,17,34806797,multi_prime_family,,multi_prime_family,False
100000000000,99999924209,29,99999924211,1,excluded,composite_obstruction,32,multi_prime_family,11*17^3*479*3863,False,False,11,9090902201,multi_prime_family,17,534758953,multi_prime_family,17,31456409,multi_prime_family,,multi_prime_family,False
100000000000,99999913271,11,99999913273,13,excluded,composite_obstruction,48,multi_prime_family,13*67^2*79*109*199,False,False,13,7692301021,multi_prime_family,67,114810463,multi_prime_family,67,1713589,multi_prime_family,,multi_prime_family,False
100000000000,99999899669,29,99999899671,1,excluded,composite_obstruction,20,multi_prime_family,7^4*163*255517,False,False,7,14285699953,multi_prime_family,7,2040814279,multi_prime_family,7,291544897,multi_prime_family,,multi_prime_family,False
100000000000,99999892067,17,99999892069,19,excluded,composite_obstruction,32,multi_prime_family,7*11^3*347*30931,False,False,7,14285698867,multi_prime_family,11,1298699897,multi_prime_family,11,118063627,multi_prime_family,,multi_prime_family,False
100000000000,99999887447,17,99999887449,19,excluded,composite_obstruction,128,multi_prime_family,7*11*19*29*71*89*373,False,False,7,14285698207,multi_prime_family,11,1298699837,multi_prime_family,19,68352623,multi_prime_family,,multi_prime_family,False
100000000000,99999882617,17,99999882619,19,excluded,composite_obstruction,48,multi_prime_family,7^2*13*47*331*10091,False,False,7,14285697517,multi_prime_family,7,2040813931,multi_prime_family,13,156985687,multi_prime_family,,multi_prime_family,False
100000000000,99999878669,29,99999878671,1,excluded,composite_obstruction,128,multi_prime_family,7*11*19*41*47*79*449,False,False,7,14285696953,multi_prime_family,11,1298699723,multi_prime_family,19,68352617,multi_prime_family,,multi_prime_family,False
100000000000,99999877547,17,99999877549,19,excluded,composite_obstruction,48,multi_prime_family,11^2*13*23*1291*2141,False,False,11,9090897959,multi_prime_family,11,826445269,multi_prime_family,13,63572713,multi_prime_family,,multi_prime_family,False
100000000000,99999875561,11,99999875563,13,excluded,composite_obstruction,48,multi_prime_family,7^2*113*137*241*547,False,False,7,14285696509,multi_prime_family,7,2040813787,multi_prime_family,113,18060299,multi_prime_family,,multi_prime_family,False
100000000000,99999868967,17,99999868969,19,excluded,composite_obstruction,48,multi_prime_family,7*11*13^2*367*20939,False,False,7,14285695567,multi_prime_family,11,1298699597,multi_prime_family,13,99899969,multi_prime_family,,multi_prime_family,False
100000000000,99999868109,29,99999868111,1,excluded,composite_obstruction,64,multi_prime_family,11^3*13*17*73*4657,False,False,11,9090897101,multi_prime_family,11,826445191,multi_prime_family,11,75131381,multi_prime_family,,multi_prime_family,False
100000000000,99999860567,17,99999860569,19,excluded,composite_obstruction,32,multi_prime_family,7^3*59*251*19687,False,False,7,14285694367,multi_prime_family,7,2040813481,multi_prime_family,7,291544783,multi_prime_family,,multi_prime_family,False
100000000000,99999846329,29,99999846331,1,excluded,composite_obstruction,48,multi_prime_family,7*11^2*89*211*6287,False,False,7,14285692333,multi_prime_family,11,1298699303,multi_prime_family,11,118063573,multi_prime_family,,multi_prime_family,False
100000000000,99999845867,17,99999845869,19,excluded,composite_obstruction,48,multi_prime_family,7^2*11*37*983*5101,False,False,7,14285692267,multi_prime_family,7,2040813181,multi_prime_family,11,185528471,multi_prime_family,,multi_prime_family,False
100000000000,99999839399,29,99999839401,1,excluded,composite_obstruction,48,multi_prime_family,7^2*11*31*379*15791,False,False,7,14285691343,multi_prime_family,7,2040813049,multi_prime_family,11,185528459,multi_prime_family,,multi_prime_family,False
100000000000,99999826379,29,99999826381,1,excluded,composite_obstruction,48,multi_prime_family,7*13^2*31*53*51449,False,False,7,14285689483,multi_prime_family,13,1098899191,multi_prime_family,13,84530707,multi_prime_family,,multi_prime_family,False
100000000000,99999826001,11,99999826003,13,excluded,composite_obstruction,48,multi_prime_family,7*11^2*19*1117*5563,False,False,7,14285689429,multi_prime_family,11,1298699039,multi_prime_family,11,118063549,multi_prime_family,,multi_prime_family,False
100000000000,99999825521,11,99999825523,13,excluded,composite_obstruction,48,multi_prime_family,13*23^2*59*193*1277,False,False,13,7692294271,multi_prime_family,23,334447577,multi_prime_family,23,14541199,multi_prime_family,,multi_prime_family,False
100000000000,99999819047,17,99999819049,19,excluded,composite_obstruction,48,multi_prime_family,13*17*19^2*823*1523,False,False,13,7692293773,multi_prime_family,17,452487869,multi_prime_family,19,23815151,multi_prime_family,,multi_prime_family,False
100000000000,99999807647,17,99999807649,19,excluded,composite_obstruction,48,multi_prime_family,7^2*19*61*227*7757,False,False,7,14285686807,multi_prime_family,7,2040812401,multi_prime_family,19,107411179,multi_prime_family,,multi_prime_family,False
100000000000,99999806051,11,99999806053,13,excluded,composite_obstruction,48,multi_prime_family,7*19^2*59*173*3877,False,False,7,14285686579,multi_prime_family,19,751878241,multi_prime_family,19,39572539,multi_prime_family,,multi_prime_family,False
100000000000,99999802901,11,99999802903,13,excluded,composite_obstruction,64,multi_prime_family,7*11*13*41*509*4787,False,False,7,14285686129,multi_prime_family,11,1298698739,multi_prime_family,13,99899903,multi_prime_family,,multi_prime_family,False
100000000000,99999782177,17,99999782179,19,excluded,composite_obstruction,64,multi_prime_family,11*29*53*173*179*191,False,False,11,9090889289,multi_prime_family,29,313478941,multi_prime_family,53,5914697,multi_prime_family,,multi_prime_family,False
100000000000,99999782111,11,99999782113,13,excluded,composite_obstruction,64,multi_prime_family,7*11*19*31*103*21407,False,False,7,14285683159,multi_prime_family,11,1298698469,multi_prime_family,19,68352551,multi_prime_family,,multi_prime_family,False
100000000000,99999774131,11,99999774133,13,excluded,composite_obstruction,32,multi_prime_family,7^3*19*71*216119,False,False,7,14285682019,multi_prime_family,7,2040811717,multi_prime_family,7,291544531,multi_prime_family,,multi_prime_family,False
100000000000,99999759221,11,99999759223,13,excluded,composite_obstruction,64,multi_prime_family,7*13*71*79*107*1831,False,False,7,14285679889,multi_prime_family,13,1098898453,multi_prime_family,71,15477443,multi_prime_family,,multi_prime_family,False
100000000000,99999758867,17,99999758869,19,excluded,composite_obstruction,48,multi_prime_family,17*23^2*41*367*739,False,False,17,5882338757,multi_prime_family,23,255753859,multi_prime_family,23,11119733,multi_prime_family,,multi_prime_family,False
100000000000,99999751829,29,99999751831,1,excluded,composite_obstruction,64,multi_prime_family,7*17*23*103*229*1549,False,False,7,14285678833,multi_prime_family,17,840334049,multi_prime_family,23,36536263,multi_prime_family,,multi_prime_family,False
100000000000,99999751487,17,99999751489,19,excluded,composite_obstruction,64,multi_prime_family,11*41*47*83*113*503,False,False,11,9090886499,multi_prime_family,41,221728939,multi_prime_family,47,4717637,multi_prime_family,,multi_prime_family,False
100000000000,99999743237,17,99999743239,19,excluded,composite_obstruction,36,multi_prime_family,11^2*19^2*31*73849,False,False,11,9090885749,multi_prime_family,11,826444159,multi_prime_family,19,43497061,multi_prime_family,,multi_prime_family,False
100000000000,99999735977,17,99999735979,19,excluded,composite_obstruction,96,multi_prime_family,11^2*13*37*47*139*263,False,False,11,9090885089,multi_prime_family,11,826444099,multi_prime_family,13,63572623,multi_prime_family,,multi_prime_family,False
100000000000,99999733979,29,99999733981,1,excluded,composite_obstruction,64,multi_prime_family,7*17*29*37*67*11689,False,False,7,14285676283,multi_prime_family,17,840333899,multi_prime_family,29,28977031,multi_prime_family,,multi_prime_family,False
1000000000000,999999999611,11,999999999613,13,excluded,composite_obstruction,64,multi_prime_family,17*19*41*53*223*6389,False,False,17,58823529389,multi_prime_family,19,3095975231,multi_prime_family,41,75511591,multi_prime_family,,multi_prime_family,False
1000000000000,999999999269,29,999999999271,1,excluded,composite_obstruction,192,multi_prime_family,7*13^2*19*61*73*97*103,False,False,7,142857142753,multi_prime_family,13,10989010981,multi_prime_family,13,845308537,multi_prime_family,,multi_prime_family,False
1000000000000,999999997397,17,999999997399,19,excluded,composite_obstruction,64,multi_prime_family,13*29^3*41*43*1789,False,False,13,76923076723,multi_prime_family,29,2652519887,multi_prime_family,29,91466203,multi_prime_family,,multi_prime_family,False
1000000000000,999999994817,17,999999994819,19,excluded,composite_obstruction,128,multi_prime_family,7*17*31*37*43*67*2543,False,False,7,142857142117,multi_prime_family,17,8403361301,multi_prime_family,31,271076171,multi_prime_family,,multi_prime_family,False
1000000000000,999999979991,11,999999979993,13,excluded,composite_obstruction,48,multi_prime_family,7^2*47*179*1291*1879,False,False,7,142857139999,multi_prime_family,7,20408162857,multi_prime_family,47,434216231,multi_prime_family,,multi_prime_family,False
1000000000000,999999976589,29,999999976591,1,excluded,composite_obstruction,64,multi_prime_family,7*11*31*419*467*2141,False,False,7,142857139513,multi_prime_family,11,12987012683,multi_prime_family,31,418935893,multi_prime_family,,multi_prime_family,False
1000000000000,999999971111,11,999999971113,13,excluded,composite_obstruction,64,multi_prime_family,11*13*19*101*191*19079,False,False,11,90909088283,multi_prime_family,13,6993006791,multi_prime_family,19,368052989,multi_prime_family,,multi_prime_family,False
1000000000000,999999968147,17,999999968149,19,excluded,composite_obstruction,64,multi_prime_family,7*13*19*47*2663*4621,False,False,7,142857138307,multi_prime_family,13,10989010639,multi_prime_family,19,578368981,multi_prime_family,,multi_prime_family,False
1000000000000,999999967289,29,999999967291,1,excluded,composite_obstruction,64,multi_prime_family,13*31*37*83*139*5813,False,False,13,76923074407,multi_prime_family,31,2481389497,multi_prime_family,37,67064581,multi_prime_family,,multi_prime_family,False
1000000000000,999999965417,17,999999965419,19,excluded,composite_obstruction,64,multi_prime_family,7*13*41*163*211*7793,False,False,7,142857137917,multi_prime_family,13,10989010609,multi_prime_family,41,268024649,multi_prime_family,,multi_prime_family,False
1000000000000,999999962219,29,999999962221,1,excluded,composite_obstruction,64,multi_prime_family,13*19*23*41*1579*2719,False,False,13,76923074017,multi_prime_family,19,4048582843,multi_prime_family,23,176025341,multi_prime_family,,multi_prime_family,False
1000000000000,999999955667,17,999999955669,19,excluded,composite_obstruction,48,multi_prime_family,11*13^2*59*941*9689,False,False,11,90909086879,multi_prime_family,13,6993006683,multi_prime_family,13,537923591,multi_prime_family,,multi_prime_family,False
1000000000000,999999953111,11,999999953113,13,excluded,composite_obstruction,48,multi_prime_family,7*23*139^2*563*571,False,False,7,142857136159,multi_prime_family,23,6211179833,multi_prime_family,139,44684747,multi_prime_family,,multi_prime_family,False
1000000000000,999999948197,17,999999948199,19,excluded,composite_obstruction,48,multi_prime_family,7*19^2*37*41*260861,False,False,7,142857135457,multi_prime_family,19,7518796603,multi_prime_family,19,395726137,multi_prime_family,,multi_prime_family,False
1000000000000,999999944711,11,999999944713,13,excluded,composite_obstruction,36,multi_prime_family,7^2*11^2*181*931837,False,False,7,142857134959,multi_prime_family,7,20408162137,multi_prime_family,11,1855287467,multi_prime_family,,multi_prime_family,False
1000000000000,999999943109,29,999999943111,1,excluded,composite_obstruction,64,multi_prime_family,13*29*31*71*227*5309,False,False,13,76923072547,multi_prime_family,29,2652519743,multi_prime_family,31,85565153,multi_prime_family,,multi_prime_family,False
1000000000000,999999941807,17,999999941809,19,excluded,composite_obstruction,48,multi_prime_family,11^2*31*61*313*13963,False,False,11,90909085619,multi_prime_family,11,8264462329,multi_prime_family,31,266595559,multi_prime_family,,multi_prime_family,False
1000000000000,999999938537,17,999999938539,19,excluded,composite_obstruction,48,multi_prime_family,7^2*47*67*2161*2999,False,False,7,142857134077,multi_prime_family,7,20408162011,multi_prime_family,47,434216213,multi_prime_family,,multi_prime_family,False
1000000000000,999999934127,17,999999934129,19,excluded,composite_obstruction,32,multi_prime_family,7^3*17*2699*63541,False,False,7,142857133447,multi_prime_family,7,20408161921,multi_prime_family,7,2915451703,multi_prime_family,,multi_prime_family,False
1000000000000,999999916991,11,999999916993,13,excluded,composite_obstruction,96,multi_prime_family,7*11*17*83^2*173*641,False,False,7,142857130999,multi_prime_family,11,12987011909,multi_prime_family,17,763941877,multi_prime_family,,multi_prime_family,False
1000000000000,999999911789,29,999999911791,1,excluded,composite_obstruction,64,multi_prime_family,17*29*37*41*659*2029,False,False,17,58823524223,multi_prime_family,29,2028397387,multi_prime_family,37,54821551,multi_prime_family,,multi_prime_family,False
1000000000000,999999902711,11,999999902713,13,excluded,composite_obstruction,48,multi_prime_family,7*17*19^2*43*541349,False,False,7,142857128959,multi_prime_family,17,8403360527,multi_prime_family,19,442282133,multi_prime_family,,multi_prime_family,False
1000000000000,999999897521,11,999999897523,13,excluded,composite_obstruction,48,multi_prime_family,11^2*29*41*61*113947,False,False,11,90909081593,multi_prime_family,11,8264461963,multi_prime_family,29,284981447,multi_prime_family,,multi_prime_family,False
1000000000000,999999893891,11,999999893893,13,excluded,composite_obstruction,48,multi_prime_family,7*11^2*13*6779*13397,False,False,7,142857127699,multi_prime_family,11,12987011609,multi_prime_family,11,1180637419,multi_prime_family,,multi_prime_family,False
1000000000000,999999875561,11,999999875563,13,excluded,composite_obstruction,32,multi_prime_family,13^3*61*157*47527,False,False,13,76923067351,multi_prime_family,13,5917159027,multi_prime_family,13,455166079,multi_prime_family,,multi_prime_family,False
1000000000000,999999874151,11,999999874153,13,excluded,composite_obstruction,72,multi_prime_family,7^2*17^2*41*101*17053,False,False,7,142857124879,multi_prime_family,7,20408160697,multi_prime_family,17,1200480041,multi_prime_family,,multi_prime_family,False
1000000000000,999999872387,17,999999872389,19,excluded,composite_obstruction,48,multi_prime_family,7^3*19^2*421*19183,False,False,7,142857124627,multi_prime_family,7,20408160661,multi_prime_family,7,2915451523,multi_prime_family,,multi_prime_family,False
1000000000000,999999869867,17,999999869869,19,excluded,composite_obstruction,128,multi_prime_family,7*11*13*17*53*547*2027,False,False,7,142857124267,multi_prime_family,11,12987011297,multi_prime_family,13,999000869,multi_prime_family,,multi_prime_family,False
1000000000000,999999864407,17,999999864409,19,excluded,composite_obstruction,48,multi_prime_family,7*13^2*19*631*70507,False,False,7,142857123487,multi_prime_family,13,10989009499,multi_prime_family,13,845308423,multi_prime_family,,multi_prime_family,False
1000000000000,999999856529,29,999999856531,1,excluded,composite_obstruction,64,multi_prime_family,13*43*61*67*167*2621,False,False,13,76923065887,multi_prime_family,43,1788908509,multi_prime_family,61,29326369,multi_prime_family,,multi_prime_family,False
1000000000000,999999853487,17,999999853489,19,excluded,composite_obstruction,64,multi_prime_family,7*13*41*181*743*1993,False,False,7,142857121927,multi_prime_family,13,10989009379,multi_prime_family,41,268024619,multi_prime_family,,multi_prime_family,False
1000000000000,999999848531,11,999999848533,13,excluded,composite_obstruction,64,multi_prime_family,7*43*97*109*199*1579,False,False,7,142857121219,multi_prime_family,43,3322258633,multi_prime_family,97,34250089,multi_prime_family,,multi_prime_family,False
1000000000000,999999844457,17,999999844459,19,excluded,composite_obstruction,96,multi_prime_family,7^2*11*19*97*101*9967,False,False,7,142857120637,multi_prime_family,7,20408160091,multi_prime_family,11,1855287281,multi_prime_family,,multi_prime_family,False
1000000000000,999999840761,11,999999840763,13,excluded,composite_obstruction,64,multi_prime_family,7*11*89*269*457*1187,False,False,7,142857120109,multi_prime_family,11,12987010919,multi_prime_family,89,145921471,multi_prime_family,,multi_prime_family,False
1000000000000,999999839837,17,999999839839,19,excluded,composite_obstruction,64,multi_prime_family,7*11*13*47*73*291169,False,False,7,142857119977,multi_prime_family,11,12987010907,multi_prime_family,13,999000839,multi_prime_family,,multi_prime_family,False
