rung_min_exponent,rung_max_exponent,exponent,exponent_divisor_count,exponent_status,number_family,left_prime_rule_id,candidate_bound,candidate_seconds_limit,candidate_checks,rejected_candidate_offsets_before_left_prime,unresolved_reason,unresolved_candidate_offset,power_of_two,mersenne_number,distance_to_left_prime,mersenne_location_inferred,left_prime
2,31,22,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,23,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,4,1;7;9,,,8388608,8388607,15,False,8388593
2,31,24,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,25,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,26,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,27,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,28,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,29,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,,,536870912,536870911,3,False,536870909
2,31,30,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
2,31,31,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,2147483648,2147483647,1,True,2147483647
32,100,32,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,33,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,34,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,35,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,36,9,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,37,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,8,1;3;9;13;15;19;21,,,137438953472,137438953471,25,False,137438953447
32,100,38,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,39,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,40,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,41,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,7,1;3;9;13;15;19,,,2199023255552,2199023255551,21,False,2199023255531
32,100,42,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,43,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,16,1;7;9;15;19;21;25;27;31;37;39;45;49;51;55,,,8796093022208,8796093022207,57,False,8796093022151
32,100,44,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,45,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,46,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,47,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,31,1;7;9;15;19;21;25;27;31;37;39;45;49;51;55;57;61;67;69;75;79;81;85;87;91;97;99;105;109;111,,,140737488355328,140737488355327,115,False,140737488355213
32,100,48,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,49,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,50,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,51,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,52,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,53,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,31,1;3;9;13;15;19;21;25;31;33;39;43;45;49;51;55;61;63;69;73;75;79;81;85;91;93;99;103;105;109,,,9007199254740992,9007199254740991,111,False,9007199254740881
32,100,54,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,55,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,56,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,57,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,58,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,59,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,15,1;7;9;15;19;21;25;27;31;37;39;45;49;51,,,576460752303423488,576460752303423487,55,False,576460752303423433
32,100,60,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,61,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,2305843009213693952,2305843009213693951,1,True,2305843009213693951
32,100,62,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,63,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,64,7,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,65,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,66,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,67,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,5,1;7;9;15,,,147573952589676412928,147573952589676412927,19,False,147573952589676412909
32,100,68,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,69,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,70,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,71,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,62,1;7;9;15;19;21;25;27;31;37;39;45;49;51;55;57;61;67;69;75;79;81;85;87;91;97;99;105;109;111;115;117;121;127;129;135;139;141;145;147;151;157;159;165;169;171;175;177;181;187;189;195;199;201;205;207;211;217;219;225;229,,,2361183241434822606848,2361183241434822606847,231,False,2361183241434822606617
32,100,72,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,73,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,19,1;3;9;13;15;19;21;25;31;33;39;43;45;49;51;55;61;63,,,9444732965739290427392,9444732965739290427391,69,False,9444732965739290427323
32,100,74,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,75,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,76,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,77,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,78,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,79,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,18,1;7;9;15;19;21;25;27;31;37;39;45;49;51;55;57;61,,,604462909807314587353088,604462909807314587353087,67,False,604462909807314587353021
32,100,80,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,81,5,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,82,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,83,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,15,1;7;9;15;19;21;25;27;31;37;39;45;49;51,,,9671406556917033397649408,9671406556917033397649407,55,False,9671406556917033397649353
32,100,84,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,85,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,86,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,87,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,88,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,89,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,618970019642690137449562112,618970019642690137449562111,1,True,618970019642690137449562111
32,100,90,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,91,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,92,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,93,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,94,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,95,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,96,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,97,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,39,1;3;9;13;15;19;21;25;31;33;39;43;45;49;51;55;61;63;69;73;75;79;81;85;91;93;99;103;105;109;111;115;121;123;129;133;135;139,,,158456325028528675187087900672,158456325028528675187087900671,141,False,158456325028528675187087900531
32,100,98,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,99,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
32,100,100,9,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,101,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,19,1;3;9;13;15;19;21;25;31;33;39;43;45;49;51;55;61;63,,,2535301200456458802993406410752,2535301200456458802993406410751,69,False,2535301200456458802993406410683
101,1000,102,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,103,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,12,1;7;9;15;19;21;25;27;31;37;39,candidate_work_limit,45,10141204801825835211973625643008,10141204801825835211973625643007,,False,
101,1000,104,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,105,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,106,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,107,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,162259276829213363391578010288128,162259276829213363391578010288127,1,True,162259276829213363391578010288127
101,1000,108,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,109,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,9,1;3;9;13;15;19;21;25,,,649037107316853453566312041152512,649037107316853453566312041152511,31,False,649037107316853453566312041152481
101,1000,110,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,111,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,112,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,113,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,36,1;3;9;13;15;19;21;25;31;33;39;43;45;49;51;55;61;63;69;73;75;79;81;85;91;93;99;103;105;109;111;115;121;123;129,,,10384593717069655257060992658440192,10384593717069655257060992658440191,133,False,10384593717069655257060992658440059
101,1000,114,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,115,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,116,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,117,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,118,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,119,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,120,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,121,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,122,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,123,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,124,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,125,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,126,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,127,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,,,170141183460469231731687303715884105728,170141183460469231731687303715884105727,1,True,170141183460469231731687303715884105727
101,1000,128,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,129,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,130,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,131,2,left_prime_resolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,19,1;7;9;15;19;21;25;27;31;37;39;45;49;51;55;57;61;67,,,2722258935367507707706996859454145691648,2722258935367507707706996859454145691647,69,False,2722258935367507707706996859454145691579
101,1000,132,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,133,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,134,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,135,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,136,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,137,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,174224571863520493293247799005065324265472,174224571863520493293247799005065324265471,,False,
101,1000,138,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,139,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,18,1;7;9;15;19;21;25;27;31;37;39;45;49;51;55;57;61,candidate_work_limit,67,696898287454081973172991196020261297061888,696898287454081973172991196020261297061887,,False,
101,1000,140,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,141,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,142,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,143,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,144,15,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,145,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,146,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,147,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,148,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,149,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,713623846352979940529142984724747568191373312,713623846352979940529142984724747568191373311,,False,
101,1000,150,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,151,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,32,1;7;9;15;19;21;25;27;31;37;39;45;49;51;55;57;61;67;69;75;79;81;85;87;91;97;99;105;109;111;115,candidate_work_limit,117,2854495385411919762116571938898990272765493248,2854495385411919762116571938898990272765493247,,False,
101,1000,152,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,153,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,154,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,155,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,156,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,157,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,182687704666362864775460604089535377456991567872,182687704666362864775460604089535377456991567871,,False,
101,1000,158,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,159,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,160,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,161,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,162,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,163,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,4,1;7;9,candidate_work_limit,15,11692013098647223345629478661730264157247460343808,11692013098647223345629478661730264157247460343807,,False,
101,1000,164,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,165,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,166,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,167,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,4,1;7;9,candidate_work_limit,15,187072209578355573530071658587684226515959365500928,187072209578355573530071658587684226515959365500927,,False,
101,1000,168,16,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,169,3,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,170,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,171,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,172,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,173,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,2,1,candidate_work_limit,3,11972621413014756705924586149611790497021399392059392,11972621413014756705924586149611790497021399392059391,,False,
101,1000,174,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,175,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,176,10,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,177,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,178,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,179,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,4,1;7;9,candidate_work_limit,15,766247770432944429179173513575154591809369561091801088,766247770432944429179173513575154591809369561091801087,,False,
101,1000,180,18,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,181,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,9,1;3;9;13;15;19;21;25,candidate_work_limit,31,3064991081731777716716694054300618367237478244367204352,3064991081731777716716694054300618367237478244367204351,,False,
101,1000,182,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,183,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,184,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,185,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,186,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,187,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,188,6,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,189,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,190,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,191,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,3138550867693340381917894711603833208051177722232017256448,3138550867693340381917894711603833208051177722232017256447,,False,
101,1000,192,14,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,193,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,1,,candidate_work_limit,1,12554203470773361527671578846415332832204710888928069025792,12554203470773361527671578846415332832204710888928069025791,,False,
101,1000,194,4,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,195,8,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,196,9,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
101,1000,197,2,left_prime_unresolved,power_of_two,pgs_left_prime_wheel_open_v1,4096,1.0,10,1;3;9;13;15;19;21;25;31,candidate_work_limit,33,200867255532373784442745261542645325315275374222849104412672,200867255532373784442745261542645325315275374222849104412671,,False,
101,1000,198,12,exponent_divisor_count_not_two,power_of_two,pgs_left_prime_wheel_open_v1,,,,,,,,,,False,
